ProductionID,ProductID,MachineID,MachineType,ProductionShift,ProductionSpeed_UPH,ProductionTime
64,18,M05676,Type_23,Morning,124.7,2024-01-03 06:14:57
65,15,M00162,Type_02,Morning,98.8,2024-01-03 07:06:42
66,10,M04298,Type_07,Afternoon,100.8,2024-01-03 07:46:42
67,4,M00996,Type_03,Morning,130.6,2024-01-03 08:27:45
68,21,M07630,Type_05,Night,102.4,2024-01-03 10:16:56
69,1,M09468,Type_20,Morning,101.9,2024-01-03 11:22:45
70,14,M01017,Type_23,Night,132.7,2024-01-03 11:28:09
71,20,M07870,Type_14,Night,141.9,2024-01-03 11:53:12
72,20,M06440,Type_16,Morning,122.9,2024-01-03 12:36:04
73,25,M07893,Type_10,Morning,96.9,2024-01-03 13:09:08
74,9,M06864,Type_14,Night,99.8,2024-01-03 15:19:53
75,13,M07917,Type_23,Afternoon,111.6,2024-01-03 17:16:10
76,17,M08530,Type_07,Afternoon,116.4,2024-01-03 17:22:48
77,24,M00879,Type_06,Night,90.2,2024-01-03 19:46:17
78,20,M09269,Type_15,Morning,124.5,2024-01-03 21:36:05
79,4,M04888,Type_17,Morning,111.7,2024-01-03 23:20:03
80,5,M04860,Type_02,Morning,80.0,2024-01-03 23:52:55
81,18,M06332,Type_06,Night,91.4,2024-01-04 00:06:18
82,17,M08572,Type_10,Afternoon,99.9,2024-01-04 01:24:38
83,21,M08685,Type_05,Morning,108.5,2024-01-04 02:42:46
84,7,M07209,Type_11,Morning,147.8,2024-01-04 04:16:51
85,10,M05277,Type_05,Morning,114.8,2024-01-04 06:46:28
86,9,M02063,Type_18,Morning,93.2,2024-01-04 06:47:35
87,13,M00065,Type_08,Afternoon,114.4,2024-01-04 07:12:40
88,18,M08007,Type_17,Afternoon,103.0,2024-01-04 07:28:52
89,12,M02569,Type_02,Night,116.5,2024-01-04 09:13:49
90,8,M05464,Type_10,Afternoon,121.6,2024-01-04 09:30:41
91,23,M02028,Type_05,Morning,134.2,2024-01-04 09:55:03
92,18,M02696,Type_11,Afternoon,109.5,2024-01-04 10:25:27
93,5,M09688,Type_12,Night,142.8,2024-01-04 12:08:11
94,7,M05259,Type_14,Afternoon,128.2,2024-01-04 12:59:17
95,15,M05619,Type_19,Night,95.9,2024-01-04 13:00:43
96,3,M06737,Type_13,Afternoon,154.2,2024-01-04 13:07:36
97,18,M00392,Type_06,Afternoon,116.5,2024-01-04 13:32:37
98,6,M05893,Type_12,Afternoon,93.3,2024-01-04 14:24:47
99,6,M03562,Type_12,Morning,143.1,2024-01-04 14:36:46
100,20,M06185,Type_24,Morning,151.6,2024-01-04 15:15:32
101,1,M03100,Type_07,Morning,109.3,2024-01-04 15:17:12
102,21,M06279,Type_24,Afternoon,99.9,2024-01-04 15:22:13
103,17,M08393,Type_08,Morning,106.6,2024-01-04 16:38:29
104,11,M03105,Type_15,Afternoon,124.3,2024-01-04 17:11:12
105,24,M07216,Type_25,Night,135.6,2024-01-04 17:35:55
106,2,M02455,Type_16,Morning,121.4,2024-01-04 18:39:40
107,25,M08997,Type_14,Afternoon,112.0,2024-01-04 20:09:46
108,9,M02732,Type_19,Night,140.0,2024-01-04 21:44:10
109,19,M08155,Type_08,Morning,103.7,2024-01-04 22:58:34
110,6,M09763,Type_18,Morning,130.6,2024-01-05 00:27:20
111,25,M05057,Type_21,Morning,104.2,2024-01-05 00:56:41
112,7,M08111,Type_14,Morning,118.6,2024-01-05 01:25:48
113,4,M03841,Type_08,Night,107.7,2024-01-05 02:03:54
114,3,M01029,Type_17,Night,108.9,2024-01-05 02:32:18
115,2,M07386,Type_21,Afternoon,102.5,2024-01-05 03:02:19
116,10,M00503,Type_09,Night,136.9,2024-01-05 04:24:30
117,10,M06911,Type_18,Night,95.3,2024-01-05 05:54:34
118,17,M09063,Type_08,Morning,95.2,2024-01-05 06:17:21
119,16,M06939,Type_11,Night,152.4,2024-01-05 09:03:18
120,1,M04489,Type_09,Afternoon,129.6,2024-01-05 09:45:46
121,12,M00207,Type_24,Night,80.0,2024-01-05 11:35:44
122,20,M05135,Type_03,Night,98.7,2024-01-05 12:07:53
123,20,M05978,Type_10,Morning,80.0,2024-01-05 12:18:13
124,25,M07722,Type_22,Morning,91.0,2024-01-05 13:47:48
125,10,M07036,Type_05,Morning,80.0,2024-01-05 15:06:33
126,1,M01485,Type_05,Afternoon,107.3,2024-01-05 15:44:03
127,16,M07859,Type_05,Night,87.2,2024-01-05 17:36:18
128,11,M00864,Type_16,Night,111.2,2024-01-05 19:13:29
129,4,M02791,Type_15,Morning,80.0,2024-01-05 20:33:12
130,3,M07409,Type_08,Afternoon,111.7,2024-01-05 22:37:40
131,25,M08756,Type_23,Afternoon,101.7,2024-01-05 22:45:31
132,13,M05117,Type_25,Morning,140.0,2024-01-06 01:05:38
133,21,M06020,Type_12,Morning,138.2,2024-01-06 01:45:43
134,15,M01758,Type_02,Morning,125.7,2024-01-06 02:08:26
135,25,M07575,Type_19,Night,103.5,2024-01-06 02:37:25
136,10,M06375,Type_11,Morning,149.7,2024-01-06 03:43:22
137,6,M06893,Type_22,Afternoon,80.0,2024-01-06 05:11:35
138,11,M01679,Type_22,Afternoon,81.9,2024-01-06 05:53:27
139,25,M03243,Type_03,Morning,108.3,2024-01-06 06:08:54
140,1,M04637,Type_19,Night,155.1,2024-01-06 06:27:21
141,20,M01060,Type_01,Night,106.0,2024-01-06 06:51:07
142,4,M06669,Type_15,Morning,106.3,2024-01-06 07:02:03
143,10,M09915,Type_02,Afternoon,81.2,2024-01-06 07:16:22
144,22,M03158,Type_14,Morning,128.9,2024-01-06 07:51:22
145,15,M05916,Type_06,Morning,129.1,2024-01-06 08:29:21
146,1,M09790,Type_16,Morning,125.8,2024-01-06 09:52:28
147,21,M02694,Type_08,Afternoon,97.4,2024-01-06 10:09:46
148,15,M03628,Type_05,Afternoon,95.9,2024-01-06 10:21:43
149,3,M09556,Type_05,Morning,84.1,2024-01-06 10:57:06
150,1,M05451,Type_22,Morning,111.7,2024-01-06 11:30:59
151,6,M01664,Type_07,Night,88.4,2024-01-06 12:40:17
152,19,M09722,Type_18,Morning,86.5,2024-01-06 13:24:57
153,4,M05593,Type_02,Morning,101.5,2024-01-06 13:53:26
154,12,M07393,Type_20,Afternoon,100.2,2024-01-06 14:45:26
155,25,M01307,Type_20,Night,99.2,2024-01-06 15:27:36
156,2,M06777,Type_11,Morning,119.3,2024-01-06 16:15:53
157,17,M05865,Type_13,Afternoon,111.6,2024-01-06 16:29:18
158,6,M09475,Type_18,Night,104.2,2024-01-06 17:03:37
159,12,M07527,Type_25,Morning,113.7,2024-01-06 17:57:56
160,15,M08902,Type_06,Afternoon,90.2,2024-01-06 18:28:08
161,17,M05576,Type_03,Morning,112.1,2024-01-06 18:29:19
162,1,M05531,Type_18,Afternoon,113.0,2024-01-06 20:10:36
163,14,M04414,Type_05,Afternoon,80.0,2024-01-06 20:29:10
164,23,M03749,Type_06,Afternoon,129.9,2024-01-06 20:36:52
165,2,M00664,Type_16,Morning,92.4,2024-01-06 21:07:42
166,4,M01999,Type_21,Night,111.8,2024-01-06 21:09:46
167,20,M07995,Type_05,Morning,133.3,2024-01-06 21:42:02
168,2,M01496,Type_24,Morning,128.5,2024-01-07 00:04:57
169,22,M03305,Type_21,Morning,110.7,2024-01-07 00:41:50
170,14,M03764,Type_18,Afternoon,102.8,2024-01-07 00:56:59
171,18,M05233,Type_07,Afternoon,129.0,2024-01-07 02:24:00
172,8,M01854,Type_18,Morning,123.5,2024-01-07 02:40:57
173,20,M06586,Type_15,Afternoon,97.6,2024-01-07 04:57:31
174,1,M01292,Type_03,Morning,94.1,2024-01-07 05:05:01
175,16,M03582,Type_07,Afternoon,80.0,2024-01-07 05:17:40
176,7,M07555,Type_03,Morning,113.1,2024-01-07 05:44:43
177,6,M07281,Type_10,Afternoon,108.3,2024-01-07 08:22:56
178,22,M01637,Type_17,Morning,132.7,2024-01-07 08:47:30
179,19,M03697,Type_24,Night,117.2,2024-01-07 09:09:16
180,10,M00699,Type_13,Morning,136.7,2024-01-07 09:27:15
181,23,M04738,Type_20,Morning,96.1,2024-01-07 09:53:21
182,6,M00855,Type_10,Morning,132.8,2024-01-07 09:53:38
183,10,M08165,Type_12,Night,99.4,2024-01-07 10:07:36
184,25,M05856,Type_21,Night,125.6,2024-01-07 11:36:20
185,19,M07393,Type_20,Morning,80.8,2024-01-07 15:57:34
186,3,M06529,Type_06,Afternoon,114.7,2024-01-07 15:59:45
187,20,M05250,Type_02,Night,80.0,2024-01-07 16:36:35
188,3,M05173,Type_22,Afternoon,104.7,2024-01-07 18:56:06
189,20,M01708,Type_09,Afternoon,118.8,2024-01-07 19:24:24
190,6,M05792,Type_09,Morning,99.6,2024-01-07 19:37:39
191,17,M09926,Type_25,Morning,89.0,2024-01-07 20:28:29
192,18,M05536,Type_20,Night,126.9,2024-01-07 20:42:01
193,10,M04932,Type_12,Night,107.9,2024-01-07 21:02:53
194,6,M03511,Type_04,Afternoon,100.2,2024-01-07 22:38:54
195,13,M00203,Type_04,Morning,110.8,2024-01-07 23:00:48
196,6,M04219,Type_11,Morning,160.0,2024-01-08 00:44:20
197,12,M08959,Type_17,Afternoon,133.1,2024-01-08 01:08:23
198,14,M04390,Type_12,Night,133.3,2024-01-08 01:59:32
199,17,M02328,Type_06,Night,118.7,2024-01-08 03:20:14
200,22,M08005,Type_25,Night,113.3,2024-01-08 05:35:59
201,25,M02932,Type_12,Afternoon,80.0,2024-01-08 06:36:08
202,8,M07778,Type_25,Morning,96.4,2024-01-08 07:43:20
203,5,M00198,Type_16,Morning,100.4,2024-01-08 11:53:01
204,4,M07126,Type_02,Night,80.0,2024-01-08 12:07:58
205,6,M01931,Type_10,Afternoon,86.9,2024-01-08 13:18:58
206,11,M06288,Type_11,Morning,80.0,2024-01-08 14:23:31
207,5,M08801,Type_23,Morning,109.2,2024-01-08 16:54:24
208,22,M09340,Type_02,Afternoon,126.4,2024-01-08 17:10:20
209,14,M04283,Type_13,Morning,132.1,2024-01-08 17:48:02
210,10,M02512,Type_11,Morning,118.3,2024-01-08 18:01:56
211,11,M09987,Type_21,Afternoon,90.7,2024-01-08 18:02:52
212,3,M00660,Type_11,Afternoon,80.0,2024-01-08 18:35:55
213,23,M02812,Type_25,Afternoon,80.0,2024-01-08 19:16:05
214,8,M07099,Type_20,Morning,84.6,2024-01-08 19:18:10
215,21,M06547,Type_09,Afternoon,92.2,2024-01-08 19:24:58
216,5,M09562,Type_18,Morning,106.8,2024-01-08 19:33:39
217,20,M01987,Type_15,Morning,89.7,2024-01-08 21:17:47
218,21,M08339,Type_15,Afternoon,116.8,2024-01-09 00:23:00
219,10,M02912,Type_15,Afternoon,105.4,2024-01-09 01:43:38
220,8,M01735,Type_11,Night,110.2,2024-01-09 02:09:56
221,21,M01844,Type_02,Afternoon,132.8,2024-01-09 02:45:01
222,9,M08681,Type_19,Afternoon,86.4,2024-01-09 03:00:22
223,15,M02977,Type_10,Morning,118.4,2024-01-09 03:29:51
224,1,M01960,Type_21,Morning,109.7,2024-01-09 04:13:26
225,23,M05760,Type_02,Morning,103.3,2024-01-09 04:24:14
226,5,M06695,Type_14,Morning,127.7,2024-01-09 05:22:54
227,15,M02386,Type_18,Night,127.6,2024-01-09 05:40:14
228,4,M04737,Type_24,Morning,91.1,2024-01-09 05:47:40
229,19,M01803,Type_16,Night,106.4,2024-01-09 07:51:06
230,10,M08156,Type_07,Afternoon,115.6,2024-01-09 08:22:31
231,23,M08121,Type_03,Night,104.5,2024-01-09 10:21:27
232,2,M06617,Type_02,Afternoon,121.7,2024-01-09 11:17:10
233,5,M05535,Type_13,Afternoon,115.6,2024-01-09 12:29:59
234,18,M04062,Type_16,Afternoon,146.7,2024-01-09 12:39:14
235,23,M00263,Type_22,Morning,80.0,2024-01-09 14:27:39
236,6,M06288,Type_11,Afternoon,107.6,2024-01-09 14:44:35
237,10,M08816,Type_06,Morning,91.8,2024-01-09 15:33:16
238,15,M09209,Type_14,Morning,122.1,2024-01-09 16:08:57
239,23,M02050,Type_21,Afternoon,80.0,2024-01-09 18:17:59
240,9,M05424,Type_05,Morning,116.9,2024-01-09 18:44:01
241,13,M04549,Type_22,Night,97.4,2024-01-09 19:19:40
242,18,M03109,Type_16,Night,95.3,2024-01-09 20:00:03
243,25,M07159,Type_25,Night,81.1,2024-01-09 23:52:19
244,7,M07401,Type_12,Morning,100.7,2024-01-10 01:43:57
245,2,M03171,Type_20,Morning,131.7,2024-01-10 03:09:17
246,16,M09875,Type_05,Night,109.5,2024-01-10 04:32:58
247,2,M02256,Type_15,Afternoon,122.6,2024-01-10 06:24:11
248,4,M01155,Type_16,Night,143.3,2024-01-10 06:32:56
249,2,M04500,Type_02,Night,115.3,2024-01-10 06:47:49
250,17,M06296,Type_22,Night,98.8,2024-01-10 06:58:33
251,6,M06198,Type_02,Morning,119.3,2024-01-10 09:11:41
252,10,M09889,Type_07,Morning,99.1,2024-01-10 09:26:03
253,14,M01649,Type_20,Night,99.9,2024-01-10 10:47:07
254,15,M05540,Type_08,Morning,80.0,2024-01-10 12:58:28
255,21,M09638,Type_16,Morning,128.5,2024-01-10 15:30:04
256,12,M04200,Type_11,Afternoon,102.3,2024-01-10 15:31:09
257,19,M08446,Type_12,Night,113.6,2024-01-10 16:28:28
258,11,M02558,Type_25,Afternoon,89.3,2024-01-10 16:59:29
259,1,M05593,Type_02,Afternoon,118.7,2024-01-10 17:17:23
260,25,M00099,Type_14,Morning,94.8,2024-01-10 18:13:06
261,8,M02201,Type_05,Afternoon,107.2,2024-01-10 18:19:02
262,22,M02962,Type_20,Night,127.6,2024-01-10 19:28:47
263,6,M04974,Type_10,Morning,125.8,2024-01-10 19:34:58
264,12,M04434,Type_14,Afternoon,109.6,2024-01-10 20:12:54
265,20,M02870,Type_13,Night,80.0,2024-01-10 20:40:05
266,16,M00957,Type_17,Afternoon,160.0,2024-01-10 20:48:42
267,18,M08353,Type_22,Afternoon,144.9,2024-01-10 22:01:18
268,12,M05700,Type_09,Afternoon,124.5,2024-01-10 22:04:20
269,20,M06945,Type_25,Morning,94.9,2024-01-10 22:21:35
270,2,M04494,Type_19,Morning,107.7,2024-01-10 22:37:02
271,7,M09493,Type_11,Night,99.1,2024-01-10 23:33:36
272,9,M04912,Type_17,Night,135.3,2024-01-10 23:49:36
273,18,M03988,Type_18,Night,115.3,2024-01-11 00:16:52
274,9,M09720,Type_09,Night,94.3,2024-01-11 00:43:13
275,25,M06016,Type_05,Afternoon,100.6,2024-01-11 01:46:15
276,8,M01219,Type_15,Afternoon,132.4,2024-01-11 02:10:15
277,1,M04497,Type_01,Night,142.0,2024-01-11 03:05:31
278,5,M04736,Type_13,Afternoon,140.6,2024-01-11 03:18:13
279,16,M04556,Type_09,Afternoon,125.1,2024-01-11 03:28:58
280,14,M09147,Type_09,Night,104.9,2024-01-11 03:56:33
281,13,M08051,Type_06,Night,80.0,2024-01-11 04:03:58
282,11,M03447,Type_06,Morning,115.9,2024-01-11 05:57:22
283,20,M01046,Type_04,Morning,110.0,2024-01-11 06:40:46
284,23,M06894,Type_21,Morning,112.8,2024-01-11 08:10:51
285,13,M01694,Type_15,Afternoon,111.1,2024-01-11 08:28:21
286,15,M03437,Type_22,Morning,83.5,2024-01-11 14:20:15
287,24,M08755,Type_18,Afternoon,121.1,2024-01-11 14:22:13
288,16,M05896,Type_08,Afternoon,122.6,2024-01-11 16:17:20
289,13,M03355,Type_03,Morning,123.6,2024-01-11 16:34:40
290,8,M00226,Type_20,Afternoon,128.9,2024-01-11 18:50:35
291,18,M04894,Type_20,Morning,122.1,2024-01-11 19:21:19
292,19,M07023,Type_25,Morning,101.8,2024-01-11 19:36:17
293,15,M09152,Type_25,Night,108.6,2024-01-11 20:08:41
294,10,M05601,Type_01,Morning,111.8,2024-01-11 20:58:21
295,23,M07997,Type_23,Morning,112.2,2024-01-11 21:55:23
296,4,M09008,Type_04,Afternoon,130.0,2024-01-11 22:00:50
297,6,M07684,Type_17,Night,122.9,2024-01-11 23:52:38
298,8,M04643,Type_09,Morning,151.5,2024-01-12 00:22:18
299,24,M07680,Type_23,Afternoon,154.1,2024-01-12 03:11:36
300,7,M08209,Type_15,Morning,111.6,2024-01-12 03:26:50
301,12,M07340,Type_05,Morning,80.0,2024-01-12 04:02:01
302,18,M09436,Type_20,Afternoon,134.7,2024-01-12 04:10:15
303,18,M02206,Type_21,Afternoon,99.2,2024-01-12 04:13:38
304,19,M01070,Type_03,Afternoon,94.0,2024-01-12 04:18:53
305,4,M03445,Type_09,Afternoon,102.0,2024-01-12 04:44:04
306,1,M01061,Type_12,Night,101.1,2024-01-12 05:37:18
307,5,M02328,Type_06,Afternoon,122.2,2024-01-12 06:27:37
308,7,M03421,Type_14,Morning,80.0,2024-01-12 08:53:59
309,11,M00302,Type_21,Night,88.4,2024-01-12 09:26:18
310,21,M00607,Type_01,Morning,116.9,2024-01-12 10:26:01
311,23,M03171,Type_20,Afternoon,122.5,2024-01-12 10:53:54
312,21,M00700,Type_15,Morning,122.8,2024-01-12 11:40:10
313,11,M05089,Type_23,Morning,94.3,2024-01-12 12:25:36
314,10,M09332,Type_15,Night,90.4,2024-01-12 16:28:00
315,24,M00191,Type_18,Night,99.9,2024-01-12 16:58:04
316,7,M00981,Type_13,Afternoon,114.8,2024-01-12 17:17:13
317,16,M02976,Type_21,Afternoon,139.7,2024-01-12 21:15:36
318,1,M06103,Type_02,Morning,80.0,2024-01-12 21:17:15
319,1,M01185,Type_23,Morning,105.6,2024-01-12 21:36:59
320,12,M03328,Type_07,Morning,83.3,2024-01-12 22:19:02
321,16,M03395,Type_19,Afternoon,80.0,2024-01-12 23:22:56
322,5,M08320,Type_14,Afternoon,129.3,2024-01-12 23:54:58
323,14,M01817,Type_15,Afternoon,120.9,2024-01-13 00:00:58
324,18,M05855,Type_13,Morning,119.0,2024-01-13 00:30:17
325,9,M06710,Type_25,Night,128.4,2024-01-13 00:34:18
326,2,M00570,Type_09,Afternoon,100.4,2024-01-13 03:06:58
327,12,M05443,Type_22,Afternoon,101.3,2024-01-13 03:42:49
328,25,M01896,Type_16,Afternoon,153.7,2024-01-13 04:19:15
329,10,M02734,Type_06,Afternoon,105.1,2024-01-13 04:38:38
330,2,M03864,Type_12,Morning,124.7,2024-01-13 04:44:18
331,15,M07456,Type_06,Morning,110.1,2024-01-13 04:50:15
332,4,M04015,Type_05,Night,80.0,2024-01-13 04:56:53
333,19,M01687,Type_07,Morning,80.0,2024-01-13 05:23:32
334,22,M03010,Type_13,Morning,98.4,2024-01-13 05:30:48
335,4,M07807,Type_08,Morning,131.1,2024-01-13 06:09:06
336,25,M00155,Type_08,Morning,125.8,2024-01-13 06:57:17
337,9,M01410,Type_23,Night,128.3,2024-01-13 08:14:36
338,13,M00785,Type_04,Afternoon,90.3,2024-01-13 08:14:45
339,10,M08097,Type_07,Afternoon,142.3,2024-01-13 09:31:39
340,14,M07561,Type_02,Morning,90.7,2024-01-13 10:35:30
341,25,M07344,Type_06,Afternoon,114.3,2024-01-13 11:27:39
342,3,M07207,Type_12,Afternoon,109.8,2024-01-13 14:55:45
343,3,M05597,Type_03,Morning,106.5,2024-01-13 15:32:25
344,20,M05802,Type_18,Afternoon,136.8,2024-01-13 15:44:02
345,16,M02807,Type_02,Morning,95.9,2024-01-13 16:00:08
346,9,M00538,Type_12,Afternoon,83.0,2024-01-13 16:27:57
347,14,M05987,Type_07,Afternoon,110.4,2024-01-13 19:46:34
348,22,M01842,Type_21,Morning,102.0,2024-01-13 20:17:19
349,16,M08717,Type_18,Morning,160.0,2024-01-13 22:37:24
350,9,M06972,Type_13,Afternoon,123.5,2024-01-13 23:23:02
351,24,M05626,Type_18,Afternoon,101.8,2024-01-13 23:43:59
352,23,M02951,Type_10,Night,88.9,2024-01-14 00:06:54
353,5,M07993,Type_01,Afternoon,80.0,2024-01-14 01:48:15
354,13,M04781,Type_12,Morning,89.5,2024-01-14 03:12:31
355,15,M02369,Type_03,Morning,112.3,2024-01-14 03:29:10
356,25,M06656,Type_11,Afternoon,138.5,2024-01-14 04:06:56
357,4,M08174,Type_11,Morning,132.4,2024-01-14 04:08:39
358,14,M04496,Type_15,Afternoon,114.6,2024-01-14 06:03:24
359,20,M09164,Type_13,Night,103.5,2024-01-14 06:06:01
360,24,M06003,Type_16,Afternoon,115.4,2024-01-14 06:20:11
361,20,M06615,Type_23,Morning,99.6,2024-01-14 07:17:43
362,7,M09359,Type_10,Afternoon,144.4,2024-01-14 07:29:14
363,4,M05920,Type_08,Afternoon,106.2,2024-01-14 07:41:42
364,17,M00854,Type_22,Afternoon,108.3,2024-01-14 07:44:09
365,9,M04147,Type_04,Night,80.0,2024-01-14 07:46:59
366,4,M03770,Type_25,Morning,106.1,2024-01-14 09:01:52
367,3,M00575,Type_24,Night,126.7,2024-01-14 09:32:47
368,19,M01149,Type_15,Night,88.6,2024-01-14 12:07:10
369,9,M06294,Type_14,Morning,95.0,2024-01-14 12:43:47
370,8,M06458,Type_07,Morning,125.9,2024-01-14 13:50:36
371,7,M07510,Type_19,Morning,80.5,2024-01-14 13:53:00
372,7,M09908,Type_17,Morning,131.2,2024-01-14 14:02:41
373,4,M04778,Type_10,Morning,99.4,2024-01-14 14:50:41
374,19,M03855,Type_24,Afternoon,102.2,2024-01-14 15:23:21
375,12,M02492,Type_20,Morning,87.5,2024-01-14 17:57:14
376,20,M03125,Type_19,Morning,117.6,2024-01-14 18:10:11
377,6,M05692,Type_04,Night,159.2,2024-01-14 19:09:39
378,12,M03052,Type_25,Morning,125.6,2024-01-14 19:20:57
379,20,M00005,Type_18,Night,92.7,2024-01-14 19:30:31
380,4,M05223,Type_01,Morning,132.7,2024-01-14 22:32:53
381,2,M05316,Type_10,Morning,103.7,2024-01-14 22:34:25
382,15,M04870,Type_04,Afternoon,137.5,2024-01-14 22:45:59
383,23,M00877,Type_16,Afternoon,126.1,2024-01-14 22:57:03
384,6,M09184,Type_15,Night,80.0,2024-01-14 23:21:29
385,18,M07028,Type_21,Afternoon,89.9,2024-01-15 00:07:38
386,21,M04143,Type_19,Night,128.9,2024-01-15 01:30:31
387,22,M06967,Type_17,Morning,113.0,2024-01-15 03:58:21
388,5,M07080,Type_02,Morning,89.5,2024-01-15 04:03:34
389,4,M07988,Type_25,Night,97.3,2024-01-15 04:08:03
390,11,M06800,Type_13,Night,80.0,2024-01-15 04:10:26
391,11,M04466,Type_05,Night,108.2,2024-01-15 04:22:12
392,9,M00636,Type_11,Afternoon,154.2,2024-01-15 04:56:21
393,3,M01694,Type_15,Morning,126.1,2024-01-15 06:09:53
394,11,M09875,Type_05,Night,153.8,2024-01-15 08:04:23
395,2,M04753,Type_24,Morning,127.6,2024-01-15 09:03:05
396,9,M08312,Type_10,Night,130.5,2024-01-15 09:52:53
397,24,M00831,Type_05,Night,149.5,2024-01-15 10:18:53
398,25,M05178,Type_11,Afternoon,117.5,2024-01-15 11:04:12
399,10,M09562,Type_18,Night,106.3,2024-01-15 11:12:08
400,11,M08933,Type_14,Night,130.7,2024-01-15 11:58:02
401,3,M08309,Type_03,Morning,139.1,2024-01-15 12:31:36
402,17,M05950,Type_08,Night,100.4,2024-01-15 13:17:40
403,11,M02839,Type_02,Afternoon,95.6,2024-01-15 13:52:31
404,17,M01151,Type_22,Night,112.8,2024-01-15 15:11:11
