TestID,ProductionID,Product_Temp_C,Product_Pressure_PSI,ScreenTestScore,BatteryTestScore,CameraTestScore,PerformanceTestScore,TestDate,QualityStatus
115,115,36.1,15.2,80.3,73.3,77.0,87.9,2024-01-05 03:43:19,Pass
116,116,33.6,15.8,58.6,56.0,71.7,67.4,2024-01-05 05:24:30,Defect
117,117,26.7,15.9,80.3,70.2,90.6,78.5,2024-01-05 07:47:34,Pass
118,118,37.5,18.5,83.3,95.3,83.6,93.1,2024-01-05 06:57:21,Pass
119,119,29.6,18.4,57.0,46.3,48.1,58.3,2024-01-05 09:56:18,Defect
120,120,34.9,16.5,80.9,62.9,72.4,58.8,2024-01-05 10:40:46,Defect
121,121,37.0,15.3,72.8,80.9,84.1,88.9,2024-01-05 12:58:44,Pass
122,122,31.0,16.5,77.5,83.8,95.6,76.2,2024-01-05 12:51:53,Pass
123,123,31.7,14.8,80.4,87.5,79.2,74.9,2024-01-05 12:58:13,Pass
124,124,28.5,15.2,82.0,66.6,88.8,79.2,2024-01-05 14:44:48,Pass
125,125,29.8,16.1,90.8,72.5,90.5,63.9,2024-01-05 16:16:33,Pass
126,126,31.7,15.0,93.7,78.3,77.1,81.1,2024-01-05 17:15:03,Pass
127,127,32.0,15.0,80.8,85.4,73.4,82.0,2024-01-05 18:40:18,Pass
128,128,35.6,15.3,83.1,79.2,75.3,62.2,2024-01-05 20:25:29,Pass
129,129,34.4,19.4,95.2,74.0,83.9,80.4,2024-01-05 21:43:12,Pass
130,130,40.9,16.3,76.6,74.8,80.6,80.5,2024-01-06 00:22:40,Pass
131,131,32.6,13.4,66.3,78.8,81.6,76.9,2024-01-06 00:10:31,Pass
132,132,38.7,16.3,81.3,55.9,72.5,84.2,2024-01-06 02:07:38,Defect
133,133,33.9,16.7,70.6,86.2,79.5,91.4,2024-01-06 03:08:43,Pass
134,134,42.5,15.9,70.7,79.2,81.3,79.7,2024-01-06 02:53:26,Pass
135,135,35.2,16.9,72.9,78.4,67.3,88.6,2024-01-06 04:23:25,Pass
136,136,36.2,15.1,68.3,56.8,77.4,59.6,2024-01-06 05:03:22,Defect
137,137,30.3,15.8,66.6,72.9,79.4,65.7,2024-01-06 06:01:35,Pass
138,138,37.2,15.9,87.3,83.9,94.0,86.3,2024-01-06 06:40:27,Pass
139,139,35.4,15.0,77.7,68.5,78.5,87.6,2024-01-06 06:51:54,Pass
140,140,38.1,14.6,71.9,62.7,55.1,63.9,2024-01-06 07:15:21,Defect
141,141,30.6,16.1,83.1,88.2,88.2,77.4,2024-01-06 08:32:07,Pass
142,142,31.7,16.3,90.6,76.8,95.5,71.5,2024-01-06 07:43:03,Pass
143,143,26.5,11.8,78.8,77.0,71.6,72.7,2024-01-06 09:00:22,Defect
144,144,33.9,15.2,74.7,82.7,60.8,65.7,2024-01-06 09:29:22,Pass
145,145,34.0,15.6,76.7,61.9,75.3,81.0,2024-01-06 10:02:21,Pass
146,146,30.4,16.3,79.0,76.7,61.5,72.3,2024-01-06 11:12:28,Pass
147,147,34.1,17.2,81.2,79.1,87.1,85.8,2024-01-06 11:16:46,Pass
148,148,32.9,15.5,69.0,77.7,79.5,73.1,2024-01-06 12:03:43,Pass
149,149,30.8,16.9,84.4,78.8,79.8,67.5,2024-01-06 12:00:06,Pass
150,150,31.7,13.9,100.0,93.8,84.0,82.8,2024-01-06 13:08:59,Pass
151,151,34.6,18.0,82.4,80.2,82.4,82.2,2024-01-06 14:24:17,Pass
152,152,30.7,15.9,84.1,86.9,85.4,74.7,2024-01-06 14:17:57,Pass
153,153,41.2,13.7,64.2,80.2,74.8,74.2,2024-01-06 15:48:26,Pass
154,154,33.8,16.9,85.7,75.0,89.2,88.4,2024-01-06 16:07:26,Pass
155,155,38.1,15.6,92.2,75.0,82.1,89.1,2024-01-06 16:12:36,Pass
156,156,30.9,18.8,92.1,86.6,91.2,93.4,2024-01-06 17:24:53,Pass
157,157,34.4,18.4,83.7,73.4,79.1,80.0,2024-01-06 18:04:18,Pass
158,158,30.9,17.3,63.7,61.8,75.3,76.5,2024-01-06 18:57:37,Defect
159,159,36.9,11.7,81.0,67.4,67.9,71.4,2024-01-06 19:31:56,Defect
160,160,33.8,15.7,75.3,65.7,61.2,73.2,2024-01-06 20:27:08,Defect
161,161,43.0,17.9,72.9,64.7,64.0,67.4,2024-01-06 20:11:19,Defect
162,162,33.6,17.3,71.4,77.2,86.3,80.1,2024-01-06 21:19:36,Pass
163,163,26.5,14.6,79.4,62.3,81.8,82.1,2024-01-06 21:50:10,Pass
164,164,35.8,15.8,86.0,86.5,77.6,79.2,2024-01-06 21:54:52,Pass
165,165,34.9,16.9,82.2,95.0,90.3,94.9,2024-01-06 22:21:42,Pass
166,166,32.6,13.6,72.0,70.2,70.9,84.4,2024-01-06 21:58:46,Pass
167,167,33.1,13.7,87.0,84.9,82.7,80.5,2024-01-06 23:22:02,Pass
168,168,31.1,19.7,90.1,69.0,69.4,77.2,2024-01-07 01:04:57,Pass
169,169,37.0,15.5,93.8,70.9,83.2,86.0,2024-01-07 01:49:50,Pass
170,170,37.0,13.1,80.6,75.8,71.1,62.8,2024-01-07 01:34:59,Pass
171,171,45.7,15.0,68.8,62.1,71.3,68.4,2024-01-07 03:06:00,Defect
172,172,35.0,16.5,78.2,79.3,75.6,83.7,2024-01-07 04:18:57,Pass
173,173,35.0,17.2,85.3,83.3,89.3,88.7,2024-01-07 05:45:31,Pass
174,174,33.2,15.0,83.9,94.9,86.9,92.3,2024-01-07 06:16:01,Pass
175,175,44.3,14.2,76.4,68.1,77.9,70.8,2024-01-07 06:01:40,Pass
176,176,37.6,17.3,77.7,100.0,96.8,78.6,2024-01-07 07:36:43,Pass
177,177,34.9,14.6,96.2,68.5,71.4,84.3,2024-01-07 09:43:56,Pass
178,178,44.5,15.6,79.7,69.0,65.5,79.2,2024-01-07 09:44:30,Pass
179,179,35.1,17.0,71.8,75.7,70.8,76.7,2024-01-07 10:56:16,Pass
180,180,50.5,15.3,69.0,47.7,72.7,77.9,2024-01-07 10:46:15,Defect
181,181,41.0,19.0,91.1,66.2,100.0,98.2,2024-01-07 11:40:21,Pass
182,182,36.1,14.7,64.6,57.7,86.0,76.1,2024-01-07 10:37:38,Defect
183,183,36.5,15.4,74.7,73.0,77.5,79.3,2024-01-07 10:55:36,Pass
184,184,36.3,15.4,58.9,65.9,59.0,69.2,2024-01-07 13:25:20,Defect
185,185,36.6,15.0,82.7,68.1,74.2,79.2,2024-01-07 17:01:34,Pass
186,186,32.9,17.6,85.2,69.0,63.4,64.3,2024-01-07 17:04:45,Pass
187,187,41.9,15.5,74.9,75.5,83.3,68.6,2024-01-07 17:38:35,Pass
188,188,32.1,20.3,79.0,86.7,88.8,81.9,2024-01-07 20:04:06,Pass
189,189,36.5,16.2,86.7,84.4,89.8,86.9,2024-01-07 20:30:24,Pass
190,190,35.9,16.3,81.6,61.6,56.8,84.5,2024-01-07 20:55:39,Defect
191,191,32.7,13.7,74.0,69.1,71.9,69.5,2024-01-07 21:50:29,Pass
192,192,30.7,15.1,76.3,70.8,58.8,73.5,2024-01-07 22:35:01,Defect
193,193,35.9,17.0,62.4,83.4,67.5,75.0,2024-01-07 21:55:53,Pass
194,194,35.5,16.8,85.9,71.1,79.7,82.8,2024-01-07 23:46:54,Pass
195,195,33.7,14.4,82.2,98.9,93.4,88.1,2024-01-07 23:54:48,Pass
196,196,36.3,15.3,80.2,71.3,74.5,63.7,2024-01-08 01:47:20,Pass
197,197,36.8,11.2,72.2,77.2,77.8,80.4,2024-01-08 01:47:23,Defect
198,198,41.1,14.8,60.3,65.6,61.1,71.9,2024-01-08 03:28:32,Defect
199,199,40.1,18.6,79.6,72.5,75.9,85.1,2024-01-08 04:53:14,Pass
200,200,37.1,16.3,75.6,71.5,70.4,74.8,2024-01-08 07:32:59,Pass
201,201,31.8,17.7,73.5,88.3,78.7,80.8,2024-01-08 08:01:08,Pass
202,202,33.0,13.5,71.2,90.5,76.6,86.1,2024-01-08 08:29:20,Pass
203,203,33.5,16.1,94.6,80.0,82.1,72.9,2024-01-08 13:04:01,Pass
204,204,31.7,15.8,74.3,77.1,67.5,85.1,2024-01-08 13:18:58,Defect
205,205,29.4,15.1,80.8,67.0,75.9,68.9,2024-01-08 14:34:58,Pass
206,206,30.4,15.7,84.9,75.9,73.5,77.3,2024-01-08 16:10:31,Pass
207,207,37.4,15.2,73.3,88.4,82.4,95.2,2024-01-08 18:43:24,Pass
208,208,33.3,14.3,86.8,76.2,82.5,81.6,2024-01-08 19:09:20,Pass
209,209,36.2,16.2,67.0,72.4,70.4,61.5,2024-01-08 18:58:02,Defect
210,210,35.4,17.3,74.9,65.5,58.3,90.9,2024-01-08 19:01:56,Defect
211,211,35.9,14.8,88.4,87.4,86.1,98.2,2024-01-08 19:36:52,Pass
212,212,30.9,14.9,63.0,95.6,78.4,66.4,2024-01-08 20:15:55,Pass
213,213,25.0,17.2,66.0,69.1,87.4,84.3,2024-01-08 20:16:05,Pass
214,214,31.3,16.1,86.7,79.7,80.7,69.4,2024-01-08 20:14:10,Pass
215,215,30.4,15.5,93.3,81.5,100.0,95.8,2024-01-08 19:57:58,Pass
216,216,26.4,16.1,81.6,93.0,94.4,98.4,2024-01-08 20:27:39,Pass
217,217,31.8,19.1,88.9,78.6,71.3,81.6,2024-01-08 22:16:47,Pass
218,218,32.6,17.7,90.8,72.9,95.0,77.0,2024-01-09 01:58:00,Pass
219,219,34.7,18.6,69.2,70.3,76.4,72.2,2024-01-09 02:59:38,Pass
220,220,37.1,17.1,85.7,84.1,79.0,83.0,2024-01-09 04:00:56,Pass
221,221,43.6,14.9,75.8,73.5,70.5,71.0,2024-01-09 03:53:01,Pass
222,222,34.2,15.3,68.4,100.0,79.9,95.2,2024-01-09 04:25:22,Pass
223,223,35.5,14.9,77.4,86.7,68.8,77.0,2024-01-09 05:26:51,Pass
224,224,43.0,16.9,90.9,89.4,92.0,80.4,2024-01-09 05:41:26,Pass
225,225,29.6,15.5,80.6,68.6,94.2,89.1,2024-01-09 05:34:14,Pass
226,226,31.1,14.7,80.8,70.5,73.9,71.0,2024-01-09 07:11:54,Pass
227,227,38.3,15.8,76.5,57.4,73.6,78.1,2024-01-09 06:40:14,Defect
228,228,39.3,13.9,100.0,78.8,78.6,83.5,2024-01-09 06:51:40,Pass
229,229,40.5,17.5,70.1,88.0,82.5,96.2,2024-01-09 09:40:06,Pass
230,230,28.1,14.6,100.0,100.0,86.7,90.3,2024-01-09 10:18:31,Pass
231,231,27.6,17.4,91.6,90.4,89.0,90.1,2024-01-09 12:08:27,Pass
232,232,35.1,16.7,78.7,78.4,79.8,76.4,2024-01-09 12:37:10,Pass
233,233,38.1,16.9,91.6,88.5,73.1,72.5,2024-01-09 13:31:59,Pass
234,234,35.3,14.3,72.0,86.1,74.8,69.3,2024-01-09 14:06:14,Pass
235,235,28.8,16.1,100.0,76.1,83.8,85.0,2024-01-09 16:10:39,Pass
236,236,29.8,15.2,77.4,91.0,89.1,80.9,2024-01-09 16:28:35,Pass
237,237,38.2,13.4,89.3,78.2,87.4,80.4,2024-01-09 17:11:16,Pass
238,238,39.9,18.2,87.2,83.2,98.9,76.5,2024-01-09 16:58:57,Pass
239,239,36.0,15.9,77.7,88.8,88.5,81.0,2024-01-09 19:54:59,Pass
240,240,35.1,15.3,60.9,75.8,79.2,71.6,2024-01-09 19:21:01,Pass
241,241,30.9,18.1,84.7,78.0,82.1,83.8,2024-01-09 20:40:40,Pass
242,242,26.6,17.5,81.5,70.2,87.5,80.4,2024-01-09 20:59:03,Pass
243,243,27.5,21.0,85.5,64.2,81.5,87.1,2024-01-10 00:54:19,Pass
244,244,26.4,14.6,73.2,74.2,74.1,63.8,2024-01-10 02:57:57,Pass
245,245,34.9,15.1,67.8,85.8,67.9,82.7,2024-01-10 04:32:17,Pass
246,246,36.8,18.9,78.5,75.3,84.7,92.0,2024-01-10 05:33:58,Pass
247,247,35.9,14.7,82.0,87.1,83.1,74.4,2024-01-10 07:26:11,Pass
248,248,42.3,14.9,66.3,58.0,61.2,62.5,2024-01-10 07:38:56,Defect
249,249,36.0,15.9,71.6,72.8,68.6,68.9,2024-01-10 08:38:49,Pass
250,250,27.9,18.5,88.4,82.6,91.8,69.2,2024-01-10 08:09:33,Pass
251,251,34.9,15.2,83.6,84.0,88.6,79.1,2024-01-10 10:44:41,Pass
252,252,34.0,19.4,91.6,75.4,91.8,69.8,2024-01-10 10:32:03,Pass
253,253,36.5,16.0,82.4,77.2,86.3,81.8,2024-01-10 12:38:07,Pass
254,254,36.9,18.0,82.3,95.0,94.4,85.8,2024-01-10 13:56:28,Pass
255,255,37.8,15.5,61.9,56.6,81.2,75.7,2024-01-10 17:12:04,Defect
256,256,32.7,14.5,77.4,83.1,83.4,73.5,2024-01-10 16:03:09,Pass
257,257,40.7,16.9,71.9,56.8,78.1,75.3,2024-01-10 17:49:28,Defect
258,258,37.3,13.8,95.0,83.5,81.7,84.3,2024-01-10 18:00:29,Pass
259,259,25.1,13.5,73.7,73.5,69.9,80.5,2024-01-10 19:02:23,Pass
260,260,37.3,17.1,62.5,62.9,77.4,72.3,2024-01-10 19:28:06,Defect
261,261,31.3,15.1,77.2,92.1,80.3,92.6,2024-01-10 18:49:02,Pass
262,262,28.9,13.9,76.6,73.4,82.5,75.3,2024-01-10 20:44:47,Pass
263,263,36.8,15.1,86.4,82.6,73.1,75.7,2024-01-10 20:27:58,Pass
264,264,44.3,16.8,69.4,71.0,83.2,82.6,2024-01-10 21:46:54,Pass
265,265,33.3,14.6,84.2,83.7,75.1,75.3,2024-01-10 21:39:05,Pass
266,266,36.3,11.8,63.8,77.0,66.7,73.3,2024-01-10 22:43:42,Defect
267,267,37.1,15.8,47.3,48.3,52.1,42.9,2024-01-10 22:42:18,Defect
268,268,45.3,16.5,85.4,60.8,86.9,92.4,2024-01-10 23:07:20,Defect
269,269,33.2,17.2,80.1,93.3,85.4,84.1,2024-01-11 00:04:35,Pass
270,270,38.8,17.5,78.9,68.1,71.3,71.2,2024-01-10 23:10:02,Pass
271,271,32.9,15.8,82.2,79.8,80.8,78.6,2024-01-11 00:40:36,Pass
272,272,33.9,18.9,64.5,52.8,58.5,53.5,2024-01-11 00:58:36,Defect
273,273,40.9,15.8,82.3,79.3,91.2,93.3,2024-01-11 02:03:52,Pass
274,274,29.8,15.7,79.9,65.8,68.5,71.4,2024-01-11 01:42:13,Pass
275,275,37.5,15.6,86.6,76.2,91.3,87.9,2024-01-11 03:23:15,Pass
276,276,34.8,16.2,68.9,90.0,75.5,80.4,2024-01-11 03:31:15,Pass
277,277,33.6,16.8,78.3,67.5,76.1,54.5,2024-01-11 03:35:31,Defect
278,278,34.9,18.1,45.6,74.7,65.2,62.8,2024-01-11 04:17:13,Defect
279,279,26.7,15.2,74.4,48.9,70.5,70.3,2024-01-11 04:55:58,Defect
280,280,30.5,14.8,92.2,75.7,89.4,61.6,2024-01-11 05:19:33,Pass
281,281,34.0,16.2,85.4,79.3,70.0,78.8,2024-01-11 05:22:58,Pass
282,282,34.3,15.3,81.4,79.3,77.8,85.8,2024-01-11 07:34:22,Pass
283,283,31.2,14.3,83.2,60.9,57.2,81.7,2024-01-11 08:27:46,Defect
284,284,41.1,17.8,69.1,79.2,74.7,80.1,2024-01-11 09:25:51,Pass
285,285,31.1,17.8,82.5,67.4,71.2,81.8,2024-01-11 09:02:21,Pass
286,286,39.4,13.8,97.1,89.0,76.1,71.7,2024-01-11 15:03:15,Pass
287,287,36.1,15.8,88.6,87.1,84.7,64.0,2024-01-11 16:11:13,Pass
288,288,34.6,16.9,90.1,82.2,91.0,93.8,2024-01-11 16:53:20,Pass
289,289,36.1,18.9,94.9,85.4,84.5,94.7,2024-01-11 18:16:40,Pass
290,290,37.1,15.9,88.6,76.9,69.7,76.5,2024-01-11 20:32:35,Pass
291,291,31.8,17.3,78.6,84.4,75.9,86.8,2024-01-11 20:29:19,Pass
292,292,30.9,15.4,74.7,89.5,71.3,93.1,2024-01-11 21:31:17,Pass
293,293,34.1,16.7,72.6,81.3,75.3,79.5,2024-01-11 21:44:41,Pass
294,294,36.8,17.4,84.9,95.3,92.6,83.1,2024-01-11 21:43:21,Pass
295,295,37.8,16.5,71.5,73.7,92.1,75.6,2024-01-11 23:37:23,Pass
296,296,41.0,16.0,68.1,67.7,62.9,87.4,2024-01-11 23:25:50,Pass
297,297,30.7,17.5,79.7,72.5,73.6,75.2,2024-01-12 01:39:38,Pass
298,298,38.5,18.1,66.9,73.1,54.6,68.6,2024-01-12 01:53:18,Defect
299,299,37.2,16.2,67.9,68.0,62.9,66.5,2024-01-12 04:23:36,Defect
300,300,32.9,17.5,84.4,79.5,75.7,90.8,2024-01-12 04:30:50,Pass
301,301,41.5,15.2,70.8,76.6,72.8,75.5,2024-01-12 04:57:01,Pass
302,302,38.0,15.4,75.8,61.6,74.8,82.2,2024-01-12 04:45:15,Pass
303,303,40.2,18.4,91.4,63.8,93.7,92.3,2024-01-12 06:05:38,Pass
304,304,25.0,11.6,100.0,79.6,71.7,98.3,2024-01-12 05:05:53,Defect
305,305,38.8,15.6,71.9,70.8,67.9,63.9,2024-01-12 06:22:04,Defect
306,306,36.7,16.3,75.7,76.6,83.7,79.3,2024-01-12 06:27:18,Pass
307,307,38.4,14.3,90.5,98.3,86.0,83.1,2024-01-12 07:36:37,Defect
