TransactionID,ProductID,Quantity,TransactionType,ReferenceID,TransactionDate
79,25,47,IN,29,2024-08-10
80,21,46,IN,29,2024-08-10
81,20,18,IN,30,2023-09-29
82,19,52,IN,30,2023-09-29
83,22,51,IN,30,2023-09-29
84,23,29,IN,30,2023-09-29
85,15,14,IN,31,2023-03-20
86,25,44,IN,31,2023-03-20
87,11,23,IN,31,2023-03-20
88,19,28,IN,32,2023-05-20
89,20,20,IN,32,2023-05-20
90,11,52,IN,33,2024-09-22
91,21,16,IN,33,2024-09-22
92,15,18,IN,33,2024-09-22
93,13,26,IN,33,2024-09-22
94,3,31,IN,34,2024-07-24
95,2,23,IN,34,2024-07-24
96,7,53,IN,34,2024-07-24
97,24,12,IN,35,2023-09-19
98,18,10,IN,35,2023-09-19
99,3,-1,OUT,1,2023-01-13
100,14,-2,OUT,2,2023-01-13
101,7,-1,OUT,3,2023-01-19
102,5,-2,OUT,3,2023-01-19
103,15,-1,OUT,3,2023-01-19
104,9,-1,OUT,4,2023-01-23
105,15,-2,OUT,5,2023-01-14
106,17,-1,OUT,5,2023-01-14
107,6,-1,OUT,6,2023-01-02
108,24,-3,OUT,6,2023-01-02
109,15,-2,OUT,6,2023-01-02
110,22,-2,OUT,7,2023-01-22
111,20,-1,OUT,8,2023-01-03
112,2,-1,OUT,9,2023-01-11
113,21,-1,OUT,9,2023-01-11
114,2,-2,OUT,10,2023-01-13
115,5,-2,OUT,10,2023-01-13
116,4,-1,OUT,11,2023-01-25
117,18,-1,OUT,12,2023-01-10
118,11,-1,OUT,12,2023-01-10
119,25,-1,OUT,12,2023-01-10
120,10,-1,OUT,13,2023-01-28
121,13,-1,OUT,14,2023-01-27
122,12,-2,OUT,15,2023-01-27
123,8,-1,OUT,16,2023-01-13
124,21,-2,OUT,16,2023-01-13
125,24,-2,OUT,16,2023-01-13
126,3,-2,OUT,17,2023-01-07
127,22,-2,OUT,18,2023-01-14
128,10,-1,OUT,19,2023-01-26
129,20,-2,OUT,20,2023-01-22
130,22,-1,OUT,20,2023-01-22
131,23,-3,OUT,21,2023-01-11
132,10,-1,OUT,21,2023-01-11
133,14,-2,OUT,22,2023-01-22
134,22,-1,OUT,23,2023-01-28
135,13,-1,OUT,23,2023-01-28
136,1,-1,OUT,23,2023-01-28
137,7,-2,OUT,24,2023-01-10
138,9,-1,OUT,24,2023-01-10
139,24,-1,OUT,24,2023-01-10
140,4,-2,OUT,25,2023-01-21
141,12,-3,OUT,26,2023-01-03
142,13,-1,OUT,27,2023-01-21
143,15,-1,OUT,28,2023-01-06
144,23,-3,OUT,28,2023-01-06
145,13,-1,OUT,28,2023-01-06
146,23,-2,OUT,29,2023-01-09
147,13,-2,OUT,29,2023-01-09
148,6,-1,OUT,29,2023-01-09
149,18,-1,OUT,30,2023-01-21
150,8,-1,OUT,30,2023-01-21
151,15,-1,OUT,30,2023-01-21
152,17,-1,OUT,30,2023-01-21
153,14,-1,OUT,31,2023-01-24
154,9,-1,OUT,31,2023-01-24
155,25,-1,OUT,32,2023-02-13
156,7,-1,OUT,33,2023-02-27
157,7,-2,OUT,34,2023-02-06
158,3,-1,OUT,35,2023-02-06
159,24,-1,OUT,35,2023-02-06
160,22,-1,OUT,35,2023-02-06
161,6,-2,OUT,36,2023-02-18
162,12,-2,OUT,36,2023-02-18
163,11,-2,OUT,37,2023-02-20
164,16,-1,OUT,38,2023-02-14
165,4,-1,OUT,39,2023-02-17
166,8,-2,OUT,39,2023-02-17
167,19,-2,OUT,39,2023-02-17
168,25,-1,OUT,40,2023-02-03
169,15,-1,OUT,40,2023-02-03
170,12,-1,OUT,40,2023-02-03
171,10,-2,OUT,41,2023-02-01
172,2,-1,OUT,42,2023-02-10
173,12,-1,OUT,42,2023-02-10
174,6,-1,OUT,42,2023-02-10
175,8,-1,OUT,43,2023-02-11
176,24,-1,OUT,44,2023-02-23
177,13,-2,OUT,44,2023-02-23
178,14,-1,OUT,44,2023-02-23
179,6,-1,OUT,45,2023-02-17
180,19,-1,OUT,45,2023-02-17
181,21,-1,OUT,46,2023-02-01
182,10,-2,OUT,46,2023-02-01
183,2,-1,OUT,46,2023-02-01
184,9,-2,OUT,46,2023-02-01
185,3,-1,OUT,47,2023-02-02
186,6,-1,OUT,47,2023-02-02
187,19,-2,OUT,47,2023-02-02
188,8,-1,OUT,47,2023-02-02
189,23,-2,OUT,48,2023-02-17
190,16,-2,OUT,49,2023-02-14
191,17,-1,OUT,50,2023-02-08
192,18,-1,OUT,50,2023-02-08
193,8,-1,OUT,51,2023-02-08
194,9,-1,OUT,51,2023-02-08
195,2,-1,OUT,52,2023-02-16
196,22,-1,OUT,53,2023-02-11
197,6,-1,OUT,54,2023-02-19
198,1,-1,OUT,55,2023-03-23
199,12,-2,OUT,56,2023-03-05
200,6,-1,OUT,57,2023-03-13
201,1,-1,OUT,58,2023-03-11
202,12,-2,OUT,59,2023-03-22
203,16,-2,OUT,59,2023-03-22
204,14,-2,OUT,59,2023-03-22
205,18,-1,OUT,59,2023-03-22
206,2,-1,OUT,60,2023-03-23
207,20,-1,OUT,61,2023-03-11
208,9,-2,OUT,62,2023-03-15
209,3,-1,OUT,62,2023-03-15
210,23,-2,OUT,63,2023-03-01
211,15,-2,OUT,63,2023-03-01
212,14,-1,OUT,63,2023-03-01
213,7,-1,OUT,64,2023-03-08
214,23,-1,OUT,65,2023-03-09
215,1,-1,OUT,65,2023-03-09
216,22,-1,OUT,66,2023-03-05
217,19,-2,OUT,66,2023-03-05
218,1,-1,OUT,66,2023-03-05
219,10,-1,OUT,67,2023-03-22
220,4,-2,OUT,68,2023-03-05
221,10,-2,OUT,68,2023-03-05
222,10,-1,OUT,69,2023-03-13
223,9,-1,OUT,69,2023-03-13
224,24,-1,OUT,69,2023-03-13
225,10,-1,OUT,70,2023-03-24
226,9,-1,OUT,71,2023-03-07
227,17,-1,OUT,72,2023-03-15
228,8,-1,OUT,72,2023-03-15
229,11,-2,OUT,73,2023-03-03
230,24,-1,OUT,73,2023-03-03
231,4,-1,OUT,74,2023-03-26
232,4,-1,OUT,75,2023-03-07
233,21,-1,OUT,76,2023-03-09
234,7,-1,OUT,76,2023-03-09
235,2,-1,OUT,77,2023-03-01
236,23,-1,OUT,78,2023-03-09
237,21,-1,OUT,79,2023-03-18
238,17,-1,OUT,79,2023-03-18
239,20,-1,OUT,79,2023-03-18
240,18,-1,OUT,80,2023-03-12
241,10,-1,OUT,80,2023-03-12
242,1,-1,OUT,80,2023-03-12
243,18,-1,OUT,81,2023-03-14
244,10,-1,OUT,81,2023-03-14
245,12,-2,OUT,81,2023-03-14
246,6,-1,OUT,81,2023-03-14
247,7,-1,OUT,82,2023-03-18
248,18,-1,OUT,83,2023-03-02
249,25,-1,OUT,84,2023-04-19
250,12,-1,OUT,84,2023-04-19
251,5,-2,OUT,84,2023-04-19
252,20,-3,OUT,85,2023-04-12
253,22,-3,OUT,85,2023-04-12
254,5,-1,OUT,86,2023-04-09
255,10,-2,OUT,86,2023-04-09
256,23,-2,OUT,86,2023-04-09
257,18,-1,OUT,87,2023-04-18
258,1,-1,OUT,88,2023-04-10
259,16,-2,OUT,88,2023-04-10
260,8,-1,OUT,88,2023-04-10
261,21,-1,OUT,88,2023-04-10
262,12,-1,OUT,89,2023-04-02
263,2,-1,OUT,90,2023-04-05
264,3,-1,OUT,90,2023-04-05
265,25,-1,OUT,91,2023-04-24
266,15,-2,OUT,91,2023-04-24
267,21,-1,OUT,92,2023-04-07
268,25,-2,OUT,93,2023-04-05
269,24,-1,OUT,93,2023-04-05
270,25,-1,OUT,94,2023-04-21
271,16,-1,OUT,94,2023-04-21
272,5,-2,OUT,94,2023-04-21
273,12,-2,OUT,95,2023-04-23
274,18,-1,OUT,95,2023-04-23
275,3,-1,OUT,96,2023-04-22
276,1,-1,OUT,97,2023-04-14
277,23,-1,OUT,98,2023-04-25
278,1,-1,OUT,98,2023-04-25
279,6,-1,OUT,98,2023-04-25
280,6,-1,OUT,99,2023-04-13
281,21,-1,OUT,100,2023-04-18
282,11,-1,OUT,100,2023-04-18
283,24,-1,OUT,100,2023-04-18
284,15,-1,OUT,101,2023-04-20
285,7,-2,OUT,101,2023-04-20
286,7,-2,OUT,102,2023-04-13
287,8,-2,OUT,103,2023-04-03
288,3,-1,OUT,104,2023-04-08
289,21,-1,OUT,104,2023-04-08
290,21,-2,OUT,105,2023-04-09
291,18,-1,OUT,105,2023-04-09
292,14,-1,OUT,105,2023-04-09
293,20,-3,OUT,105,2023-04-09
294,5,-3,OUT,106,2023-04-20
295,20,-1,OUT,107,2023-04-15
296,10,-1,OUT,107,2023-04-15
297,22,-1,OUT,108,2023-04-25
298,15,-1,OUT,108,2023-04-25
299,7,-1,OUT,108,2023-04-25
300,4,-2,OUT,109,2023-04-11
301,7,-3,OUT,110,2023-04-18
302,5,-2,OUT,110,2023-04-18
303,2,-2,OUT,111,2023-04-09
304,7,-1,OUT,112,2023-04-02
305,17,-1,OUT,112,2023-04-02
306,25,-1,OUT,112,2023-04-02
307,1,-1,OUT,112,2023-04-02
308,6,-1,OUT,113,2023-04-11
309,10,-2,OUT,114,2023-04-02
310,11,-1,OUT,115,2023-04-27
311,21,-1,OUT,115,2023-04-27
312,20,-1,OUT,116,2023-04-21
313,12,-2,OUT,117,2023-04-04
314,23,-2,OUT,117,2023-04-04
315,9,-3,OUT,118,2023-04-06
316,18,-1,OUT,119,2023-05-13
317,3,-2,OUT,119,2023-05-13
318,22,-1,OUT,119,2023-05-13
319,8,-1,OUT,120,2023-05-04
320,2,-1,OUT,120,2023-05-04
321,5,-1,OUT,120,2023-05-04
322,18,-1,OUT,120,2023-05-04
323,24,-2,OUT,121,2023-05-28
324,10,-3,OUT,122,2023-05-06
325,19,-1,OUT,123,2023-05-16
326,9,-2,OUT,123,2023-05-16
327,20,-1,OUT,124,2023-05-02
328,11,-1,OUT,125,2023-05-18
329,16,-1,OUT,125,2023-05-18
330,17,-1,OUT,126,2023-05-20
331,25,-1,OUT,127,2023-05-14
332,24,-2,OUT,128,2023-05-02
333,7,-1,OUT,128,2023-05-02
334,4,-1,OUT,128,2023-05-02
335,18,-1,OUT,128,2023-05-02
336,1,-1,OUT,129,2023-05-28
337,9,-2,OUT,130,2023-05-04
338,12,-1,OUT,130,2023-05-04
339,17,-1,OUT,131,2023-05-13
340,10,-1,OUT,132,2023-05-03
341,20,-1,OUT,132,2023-05-03
342,15,-1,OUT,133,2023-05-07
343,6,-1,OUT,134,2023-05-28
344,14,-2,OUT,135,2023-05-04
345,17,-2,OUT,136,2023-05-19
346,9,-2,OUT,137,2023-05-18
347,15,-1,OUT,138,2023-05-09
348,18,-3,OUT,138,2023-05-09
349,4,-1,OUT,139,2023-05-16
350,5,-2,OUT,139,2023-05-16
351,17,-1,OUT,140,2023-05-03
352,19,-1,OUT,140,2023-05-03
353,20,-1,OUT,141,2023-05-26
354,2,-1,OUT,141,2023-05-26
355,21,-1,OUT,142,2023-05-17
356,25,-2,OUT,142,2023-05-17
357,16,-3,OUT,142,2023-05-17
358,8,-1,OUT,143,2023-05-11
359,9,-1,OUT,144,2023-05-19
360,25,-1,OUT,145,2023-05-15
361,1,-1,OUT,145,2023-05-15
362,5,-1,OUT,146,2023-05-28
363,19,-1,OUT,147,2023-05-09
364,20,-1,OUT,147,2023-05-09
365,4,-1,OUT,148,2023-05-05
366,24,-1,OUT,149,2023-05-14
367,16,-1,OUT,149,2023-05-14
368,1,-2,OUT,149,2023-05-14
369,22,-1,OUT,150,2023-05-20
370,19,-2,OUT,151,2023-05-04
371,7,-1,OUT,151,2023-05-04
372,15,-1,OUT,152,2023-05-26
373,9,-1,OUT,152,2023-05-26
374,24,-1,OUT,152,2023-05-26
375,19,-1,OUT,153,2023-05-13
376,11,-2,OUT,154,2023-05-10
377,10,-1,OUT,155,2023-05-05
378,20,-1,OUT,156,2023-06-26
379,11,-1,OUT,156,2023-06-26
380,24,-1,OUT,156,2023-06-26
381,13,-1,OUT,157,2023-06-14
382,18,-1,OUT,158,2023-06-20
383,1,-2,OUT,158,2023-06-20
384,21,-1,OUT,159,2023-06-18
385,13,-1,OUT,160,2023-06-01
386,6,-1,OUT,160,2023-06-01
387,19,-1,OUT,161,2023-06-13
388,21,-2,OUT,161,2023-06-13
389,5,-1,OUT,162,2023-06-14
390,1,-1,OUT,162,2023-06-14
391,11,-1,OUT,162,2023-06-14
392,13,-2,OUT,163,2023-06-08
393,22,-2,OUT,163,2023-06-08
394,11,-1,OUT,164,2023-06-01
395,17,-2,OUT,164,2023-06-01
396,10,-2,OUT,164,2023-06-01
397,13,-1,OUT,165,2023-06-16
398,11,-1,OUT,165,2023-06-16
399,2,-1,OUT,165,2023-06-16
400,3,-1,OUT,166,2023-06-19
401,16,-1,OUT,166,2023-06-19
402,4,-1,OUT,167,2023-06-23
403,13,-2,OUT,168,2023-06-23
404,8,-1,OUT,168,2023-06-23
405,16,-2,OUT,169,2023-06-24
406,21,-2,OUT,170,2023-06-13
407,11,-1,OUT,171,2023-06-26
408,1,-1,OUT,171,2023-06-26
409,23,-1,OUT,171,2023-06-26
410,8,-1,OUT,172,2023-06-14
411,25,-1,OUT,172,2023-06-14
412,24,-1,OUT,172,2023-06-14
413,13,-1,OUT,173,2023-06-05
414,2,-2,OUT,173,2023-06-05
415,4,-1,OUT,174,2023-06-09
416,4,-2,OUT,175,2023-06-20
417,12,-1,OUT,176,2023-06-15
418,22,-1,OUT,176,2023-06-15
419,4,-2,OUT,176,2023-06-15
420,25,-1,OUT,177,2023-06-14
421,16,-2,OUT,177,2023-06-14
422,23,-1,OUT,177,2023-06-14
423,6,-2,OUT,177,2023-06-14
424,2,-1,OUT,178,2023-06-25
425,21,-2,OUT,179,2023-06-08
426,24,-1,OUT,179,2023-06-08
427,13,-1,OUT,179,2023-06-08
428,19,-1,OUT,180,2023-06-11
429,5,-1,OUT,181,2023-06-13
430,19,-1,OUT,181,2023-06-13
431,6,-1,OUT,182,2023-06-19
432,7,-1,OUT,182,2023-06-19
433,9,-2,OUT,183,2023-06-26
434,19,-1,OUT,184,2023-06-07
435,24,-1,OUT,185,2023-06-22
436,6,-1,OUT,186,2023-06-20
437,8,-3,OUT,186,2023-06-20
438,14,-1,OUT,187,2023-06-27
439,5,-1,OUT,187,2023-06-27
440,9,-1,OUT,187,2023-06-27
441,20,-2,OUT,188,2023-06-25
442,17,-1,OUT,188,2023-06-25
443,8,-1,OUT,188,2023-06-25
444,15,-1,OUT,189,2023-06-12
445,17,-1,OUT,189,2023-06-12
446,10,-1,OUT,189,2023-06-12
447,12,-1,OUT,189,2023-06-12
448,4,-1,OUT,190,2023-06-14
449,13,-3,OUT,190,2023-06-14
450,6,-1,OUT,190,2023-06-14
451,22,-1,OUT,191,2023-06-08
452,20,-1,OUT,191,2023-06-08
453,9,-2,OUT,192,2023-06-11
454,6,-2,OUT,193,2023-06-11
455,18,-1,OUT,194,2023-06-07
456,25,-2,OUT,195,2023-06-17
457,17,-1,OUT,196,2023-06-01
458,18,-1,OUT,197,2023-06-10
459,18,-2,OUT,198,2023-06-13
460,6,-1,OUT,199,2023-07-05
461,14,-1,OUT,200,2023-07-13
462,7,-1,OUT,200,2023-07-13
463,19,-1,OUT,200,2023-07-13
464,15,-1,OUT,201,2023-07-22
465,19,-1,OUT,202,2023-07-04
466,1,-1,OUT,202,2023-07-04
467,2,-1,OUT,202,2023-07-04
468,14,-1,OUT,202,2023-07-04
469,15,-1,OUT,203,2023-07-18
470,9,-1,OUT,204,2023-07-05
471,3,-1,OUT,205,2023-07-03
472,24,-2,OUT,206,2023-07-23
473,9,-1,OUT,206,2023-07-23
474,5,-1,OUT,207,2023-07-09
475,12,-1,OUT,207,2023-07-09
476,21,-1,OUT,207,2023-07-09
477,20,-1,OUT,207,2023-07-09
478,6,-2,OUT,208,2023-07-06
479,12,-1,OUT,209,2023-07-25
480,11,-1,OUT,209,2023-07-25
481,1,-1,OUT,209,2023-07-25
482,6,-1,OUT,209,2023-07-25
483,21,-1,OUT,210,2023-07-26
484,20,-2,OUT,210,2023-07-26
485,3,-1,OUT,211,2023-07-05
486,4,-1,OUT,211,2023-07-05
487,9,-1,OUT,212,2023-07-23
488,10,-2,OUT,213,2023-07-24
489,7,-1,OUT,214,2023-07-01
490,8,-1,OUT,215,2023-07-10
491,12,-1,OUT,215,2023-07-10
492,16,-2,OUT,216,2023-07-10
493,17,-1,OUT,216,2023-07-10
494,4,-1,OUT,217,2023-07-17
495,21,-1,OUT,217,2023-07-17
496,6,-1,OUT,217,2023-07-17
497,7,-1,OUT,218,2023-07-25
498,23,-1,OUT,219,2023-07-21
499,7,-1,OUT,219,2023-07-21
500,16,-1,OUT,219,2023-07-21
501,5,-1,OUT,220,2023-07-14
502,1,-1,OUT,220,2023-07-14
503,23,-2,OUT,220,2023-07-14
504,21,-1,OUT,221,2023-07-28
505,25,-2,OUT,221,2023-07-28
506,3,-2,OUT,222,2023-07-28
507,15,-1,OUT,222,2023-07-28
508,15,-2,OUT,223,2023-07-05
509,3,-1,OUT,223,2023-07-05
510,11,-1,OUT,224,2023-07-12
511,1,-1,OUT,224,2023-07-12
512,24,-2,OUT,224,2023-07-12
513,9,-2,OUT,225,2023-07-14
514,5,-2,OUT,226,2023-07-03
515,11,-1,OUT,226,2023-07-03
516,11,-1,OUT,227,2023-07-25
517,3,-1,OUT,227,2023-07-25
518,5,-1,OUT,227,2023-07-25
519,16,-1,OUT,228,2023-07-16
520,19,-1,OUT,228,2023-07-16
521,4,-1,OUT,229,2023-07-22
522,24,-1,OUT,230,2023-07-15
523,19,-1,OUT,230,2023-07-15
524,21,-2,OUT,230,2023-07-15
525,12,-2,OUT,231,2023-07-27
526,23,-1,OUT,231,2023-07-27
527,2,-1,OUT,231,2023-07-27
528,20,-2,OUT,232,2023-07-11
529,13,-1,OUT,232,2023-07-11
530,5,-1,OUT,232,2023-07-11
531,12,-1,OUT,233,2023-07-11
532,16,-1,OUT,233,2023-07-11
533,13,-1,OUT,234,2023-07-02
534,4,-1,OUT,234,2023-07-02
535,10,-1,OUT,234,2023-07-02
536,20,-1,OUT,235,2023-07-09
537,5,-2,OUT,236,2023-07-04
538,23,-1,OUT,236,2023-07-04
539,16,-1,OUT,237,2023-07-28
540,2,-2,OUT,238,2023-07-06
541,4,-1,OUT,238,2023-07-06
542,24,-1,OUT,239,2023-07-18
543,2,-3,OUT,240,2023-07-09
544,17,-1,OUT,240,2023-07-09
545,11,-1,OUT,241,2023-08-22
546,13,-1,OUT,241,2023-08-22
547,16,-1,OUT,242,2023-08-04
548,8,-1,OUT,242,2023-08-04
549,22,-1,OUT,242,2023-08-04
550,21,-1,OUT,243,2023-08-01
551,16,-1,OUT,243,2023-08-01
552,20,-2,OUT,243,2023-08-01
553,17,-1,OUT,243,2023-08-01
554,12,-1,OUT,244,2023-08-27
555,14,-2,OUT,244,2023-08-27
556,11,-2,OUT,245,2023-08-07
557,10,-1,OUT,246,2023-08-06
558,7,-1,OUT,247,2023-08-20
559,18,-1,OUT,248,2023-08-22
560,4,-1,OUT,248,2023-08-22
561,16,-2,OUT,249,2023-08-27
562,7,-2,OUT,250,2023-08-14
563,15,-1,OUT,251,2023-08-08
564,16,-1,OUT,252,2023-08-05
565,9,-1,OUT,253,2023-08-09
566,23,-1,OUT,253,2023-08-09
567,12,-2,OUT,253,2023-08-09
568,5,-2,OUT,253,2023-08-09
569,15,-2,OUT,254,2023-08-18
570,4,-1,OUT,254,2023-08-18
571,13,-2,OUT,255,2023-08-10
572,21,-1,OUT,255,2023-08-10
573,24,-1,OUT,255,2023-08-10
574,18,-1,OUT,255,2023-08-10
575,5,-2,OUT,256,2023-08-19
576,11,-2,OUT,256,2023-08-19
577,19,-2,OUT,257,2023-08-08
578,17,-1,OUT,258,2023-08-28
579,6,-1,OUT,258,2023-08-28
580,14,-1,OUT,259,2023-08-26
581,17,-1,OUT,260,2023-08-02
582,6,-1,OUT,261,2023-08-12
583,16,-1,OUT,262,2023-08-13
584,3,-2,OUT,262,2023-08-13
585,5,-1,OUT,262,2023-08-13
586,7,-1,OUT,263,2023-08-28
587,4,-1,OUT,263,2023-08-28
588,5,-2,OUT,263,2023-08-28
589,16,-2,OUT,264,2023-08-08
590,21,-1,OUT,264,2023-08-08
591,24,-2,OUT,264,2023-08-08
592,9,-1,OUT,265,2023-08-25
593,23,-1,OUT,266,2023-08-13
594,6,-1,OUT,266,2023-08-13
595,9,-1,OUT,267,2023-08-07
596,21,-1,OUT,267,2023-08-07
597,7,-1,OUT,268,2023-08-03
598,5,-1,OUT,268,2023-08-03
599,11,-3,OUT,269,2023-08-24
600,15,-1,OUT,269,2023-08-24
601,9,-2,OUT,270,2023-08-21
602,19,-1,OUT,270,2023-08-21
603,14,-1,OUT,270,2023-08-21
604,10,-2,OUT,271,2023-08-21
605,14,-1,OUT,272,2023-08-18
606,1,-2,OUT,273,2023-08-23
607,20,-1,OUT,274,2023-08-27
608,20,-1,OUT,275,2023-08-03
609,11,-1,OUT,276,2023-08-09
610,13,-1,OUT,276,2023-08-09
611,18,-1,OUT,276,2023-08-09
612,22,-1,OUT,277,2023-08-28
613,14,-2,OUT,277,2023-08-28
614,23,-1,OUT,278,2023-08-23
615,11,-1,OUT,279,2023-08-03
616,12,-1,OUT,279,2023-08-03
617,12,-1,OUT,280,2023-08-22
618,10,-3,OUT,281,2023-09-19
619,12,-1,OUT,281,2023-09-19
620,3,-1,OUT,282,2023-09-07
621,2,-1,OUT,283,2023-09-05
622,22,-1,OUT,284,2023-09-03
623,8,-2,OUT,284,2023-09-03
624,12,-1,OUT,285,2023-09-04
625,12,-2,OUT,286,2023-09-27
626,14,-1,OUT,287,2023-09-27
627,6,-2,OUT,287,2023-09-27
628,21,-2,OUT,288,2023-09-23
629,7,-2,OUT,288,2023-09-23
630,2,-1,OUT,289,2023-09-02
631,8,-1,OUT,289,2023-09-02
632,4,-1,OUT,289,2023-09-02
633,18,-1,OUT,290,2023-09-06
634,1,-1,OUT,290,2023-09-06
635,20,-1,OUT,291,2023-09-03
636,22,-1,OUT,291,2023-09-03
637,20,-1,OUT,292,2023-09-01
638,5,-1,OUT,292,2023-09-01
639,7,-1,OUT,293,2023-09-16
640,22,-1,OUT,293,2023-09-16
641,15,-1,OUT,293,2023-09-16
642,6,-3,OUT,294,2023-09-22
643,20,-1,OUT,294,2023-09-22
644,12,-1,OUT,295,2023-09-03
645,15,-1,OUT,296,2023-09-07
646,1,-1,OUT,297,2023-09-22
647,25,-1,OUT,298,2023-09-24
648,23,-1,OUT,299,2023-09-03
649,8,-1,OUT,300,2023-09-25
650,9,-1,OUT,301,2023-09-19
651,22,-2,OUT,301,2023-09-19
652,3,-1,OUT,302,2023-09-26
653,15,-1,OUT,302,2023-09-26
654,5,-2,OUT,302,2023-09-26
655,15,-2,OUT,303,2023-09-15
656,8,-1,OUT,304,2023-09-08
657,7,-2,OUT,305,2023-09-18
658,9,-1,OUT,305,2023-09-18
659,14,-2,OUT,306,2023-09-21
660,4,-1,OUT,307,2023-09-23
661,17,-1,OUT,307,2023-09-23
662,17,-2,OUT,308,2023-09-27
663,22,-1,OUT,308,2023-09-27
664,25,-1,OUT,309,2023-09-21
665,10,-2,OUT,309,2023-09-21
666,20,-1,OUT,310,2023-09-01
667,25,-1,OUT,310,2023-09-01
668,19,-2,OUT,310,2023-09-01
669,20,-3,OUT,311,2023-09-24
670,21,-1,OUT,312,2023-09-06
671,16,-1,OUT,312,2023-09-06
672,14,-2,OUT,312,2023-09-06
673,1,-1,OUT,312,2023-09-06
674,1,-2,OUT,313,2023-09-03
675,9,-1,OUT,314,2023-09-17
676,17,-1,OUT,315,2023-09-06
677,20,-1,OUT,315,2023-09-06
678,16,-2,OUT,316,2023-09-15
679,2,-1,OUT,317,2023-09-15
680,23,-2,OUT,317,2023-09-15
681,4,-1,OUT,318,2023-09-22
682,9,-2,OUT,318,2023-09-22
683,13,-1,OUT,319,2023-09-06
684,18,-1,OUT,319,2023-09-06
685,10,-1,OUT,319,2023-09-06
686,15,-1,OUT,320,2023-09-26
687,3,-1,OUT,321,2023-09-13
688,25,-1,OUT,321,2023-09-13
689,24,-1,OUT,321,2023-09-13
690,10,-2,OUT,322,2023-09-13
691,1,-1,OUT,323,2023-09-19
692,25,-1,OUT,324,2023-09-08
693,16,-1,OUT,325,2023-09-13
694,8,-3,OUT,325,2023-09-13
695,4,-1,OUT,326,2023-09-01
696,20,-2,OUT,326,2023-09-01
697,19,-1,OUT,327,2023-09-25
698,2,-2,OUT,327,2023-09-25
699,1,-1,OUT,327,2023-09-25
700,22,-2,OUT,327,2023-09-25
701,14,-1,OUT,328,2023-09-23
702,14,-2,OUT,329,2023-09-28
703,4,-2,OUT,330,2023-09-05
704,23,-2,OUT,330,2023-09-05
705,11,-1,OUT,330,2023-09-05
706,24,-1,OUT,331,2023-09-23
