ShipmentID,OrderID,Carrier,TrackingNumber,ShipDate,DeliveryDate,Status,Notes
276,276,J&T Express,JT0002762391,2023-08-10,2023-08-13,Delivered,
277,277,VNPost,VNP0002771815,2023-08-31,2023-09-02,Delivered,
278,278,Viettel Post,VTP0002788957,2023-08-26,2023-08-31,Delivered,
279,279,Giao Hàng Tiết Kiệm,GHTK0002799394,2023-08-04,2023-08-08,Delivered,
280,280,J&T Express,JT0002808972,2023-08-25,2023-09-01,Delivered,
281,281,Giao Hàng Tiết Kiệm,GHTK0002817475,2023-09-22,2023-09-24,Delivered,
282,282,J&T Express,JT0002824460,2023-09-08,2023-09-12,Delivered,
283,283,Giao Hàng Nhanh,GHN0002831126,2023-09-07,2023-09-14,Delivered,
284,284,Giao Hàng Tiết Kiệm,GHTK0002847229,2023-09-06,2023-09-13,Delivered,
285,285,VNPost,VNP0002856802,2023-09-05,2023-09-10,Delivered,
286,286,Giao Hàng Nhanh,GHN0002868147,2023-09-28,2023-10-03,Delivered,
287,287,J&T Express,JT0002878033,2023-09-30,2023-10-05,Delivered,
288,288,Viettel Post,VTP0002885743,2023-09-24,2023-09-29,Delivered,
289,289,J&T Express,JT0002893815,2023-09-05,2023-09-10,Delivered,
290,290,J&T Express,JT0002902443,2023-09-08,2023-09-10,Delivered,
291,291,VNPost,VNP0002917560,2023-09-06,2023-09-08,Delivered,
292,292,J&T Express,JT0002926562,2023-09-02,2023-09-06,Delivered,
293,293,Giao Hàng Nhanh,GHN0002939363,2023-09-19,2023-09-21,Delivered,
294,294,Giao Hàng Tiết Kiệm,GHTK0002946724,2023-09-24,2023-10-01,Failed,Quá thời gian giao hàng quy định
295,295,Giao Hàng Tiết Kiệm,GHTK0002954871,2023-09-04,2023-09-07,Delivered,
296,296,Giao Hàng Tiết Kiệm,GHTK0002963504,2023-09-10,2023-09-12,Delivered,
297,297,Viettel Post,VTP0002978601,2023-09-25,2023-10-01,Delivered,
298,298,VNPost,VNP0002986295,2023-09-27,2023-10-01,Delivered,
299,299,Giao Hàng Nhanh,GHN0002998682,2023-09-05,2023-09-12,Delivered,
300,300,J&T Express,JT0003001920,2023-09-27,2023-10-03,Delivered,
301,301,Viettel Post,VTP0003018404,2023-09-20,2023-09-22,Delivered,
302,302,J&T Express,JT0003022257,2023-09-29,2023-10-01,Delivered,
303,303,VNPost,VNP0003037299,2023-09-17,2023-09-23,Delivered,
304,304,Giao Hàng Nhanh,GHN0003048368,2023-09-11,2023-09-18,Delivered,
305,305,VNPost,VNP0003058792,2023-09-21,2023-09-24,Failed,Địa chỉ không tồn tại
306,306,Giao Hàng Nhanh,GHN0003066626,2023-09-24,2023-09-26,Delivered,
307,307,Giao Hàng Tiết Kiệm,GHTK0003071641,2023-09-24,2023-10-01,Delivered,
308,308,Viettel Post,VTP0003089586,2023-09-30,2023-10-06,Delivered,
309,309,J&T Express,JT0003095634,2023-09-23,2023-09-28,Delivered,
310,310,VNPost,VNP0003101857,2023-09-04,2023-09-11,Delivered,
311,311,J&T Express,JT0003112548,2023-09-27,2023-10-04,Delivered,
312,312,J&T Express,JT0003123463,2023-09-08,2023-09-10,Delivered,
313,313,Giao Hàng Tiết Kiệm,GHTK0003136731,2023-09-05,2023-09-12,Delivered,
314,314,Viettel Post,VTP0003143112,2023-09-20,2023-09-27,Delivered,
315,315,J&T Express,JT0003157171,2023-09-09,2023-09-13,Delivered,
316,316,VNPost,VNP0003162531,2023-09-18,2023-09-25,Delivered,
317,317,J&T Express,JT0003171298,2023-09-17,2023-09-21,Delivered,
318,318,Giao Hàng Tiết Kiệm,GHTK0003186598,2023-09-24,2023-09-27,Delivered,
319,319,Giao Hàng Tiết Kiệm,GHTK0003193538,2023-09-07,2023-09-11,Delivered,
320,320,Giao Hàng Nhanh,GHN0003209317,2023-09-29,2023-10-06,Delivered,
321,321,Giao Hàng Nhanh,GHN0003216517,2023-09-16,2023-09-19,Delivered,
322,322,Giao Hàng Tiết Kiệm,GHTK0003223658,2023-09-14,2023-09-21,Delivered,
323,323,Giao Hàng Tiết Kiệm,GHTK0003238170,2023-09-20,2023-09-25,Delivered,
324,324,Giao Hàng Tiết Kiệm,GHTK0003248277,2023-09-11,2023-09-15,Delivered,
325,325,Viettel Post,VTP0003254833,2023-09-16,2023-09-19,Delivered,
326,326,Viettel Post,VTP0003264178,2023-09-03,2023-09-10,Delivered,
327,327,Viettel Post,VTP0003278564,2023-09-27,2023-10-02,Delivered,
328,328,Viettel Post,VTP0003283655,2023-09-24,2023-09-30,Delivered,
