BatchID,ProductID,SupplierID,AssemblyShift,Defect_Count,QA_Passed
BATCH_0060,8,5,Ca Đêm,2,1
BATCH_0061,15,9,Ca Chiều,0,1
BATCH_0062,3,4,Ca Sáng,2,1
BATCH_0063,14,10,Ca Chiều,1,1
BATCH_0064,17,5,Ca Chiều,2,1
BATCH_0065,4,9,Ca Sáng,2,1
BATCH_0066,18,8,Ca Đêm,1,1
BATCH_0067,8,3,Ca Đêm,43,0
BATCH_0068,4,1,Ca Sáng,1,1
BATCH_0069,2,3,Ca Đêm,1,1
BATCH_0070,6,4,Ca Sáng,0,1
BATCH_0071,22,2,Ca Sáng,2,1
BATCH_0072,10,1,Ca Sáng,0,1
BATCH_0073,4,7,Ca Đêm,1,1
BATCH_0074,22,8,Ca Sáng,2,1
BATCH_0075,18,7,Ca Chiều,1,1
BATCH_0076,12,5,Ca Đêm,2,1
BATCH_0077,2,1,Ca Đêm,43,0
BATCH_0078,10,7,Ca Đêm,1,1
BATCH_0079,4,7,Ca Đêm,31,0
BATCH_0080,14,9,Ca Chiều,0,1
BATCH_0081,16,3,Ca Đêm,0,1
BATCH_0082,15,9,Ca Đêm,2,1
BATCH_0083,8,1,Ca Sáng,28,0
BATCH_0084,14,1,Ca Đêm,43,0
BATCH_0085,23,4,Ca Chiều,2,1
BATCH_0086,25,9,Ca Chiều,0,1
BATCH_0087,8,6,Ca Chiều,0,1
BATCH_0088,21,3,Ca Chiều,1,1
BATCH_0089,16,1,Ca Đêm,2,1
BATCH_0090,13,4,Ca Đêm,2,1
BATCH_0091,18,9,Ca Chiều,1,1
BATCH_0092,15,3,Ca Chiều,0,1
BATCH_0093,21,9,Ca Đêm,0,1
BATCH_0094,24,7,Ca Chiều,2,1
BATCH_0095,25,4,Ca Sáng,2,1
BATCH_0096,13,3,Ca Chiều,1,1
BATCH_0097,9,10,Ca Chiều,1,1
BATCH_0098,15,5,Ca Sáng,2,1
BATCH_0099,13,5,Ca Sáng,42,0
BATCH_0100,1,3,Ca Đêm,2,1
BATCH_0101,25,9,Ca Đêm,2,1
BATCH_0102,7,4,Ca Sáng,33,0
BATCH_0103,9,5,Ca Sáng,2,1
BATCH_0104,24,4,Ca Đêm,1,1
BATCH_0105,1,5,Ca Chiều,2,1
BATCH_0106,12,7,Ca Sáng,2,1
BATCH_0107,8,9,Ca Đêm,0,1
BATCH_0108,24,7,Ca Chiều,1,1
BATCH_0109,11,5,Ca Sáng,2,1
BATCH_0110,19,10,Ca Chiều,39,0
BATCH_0111,17,10,Ca Đêm,22,0
BATCH_0112,8,7,Ca Sáng,1,1
BATCH_0113,3,10,Ca Chiều,2,1
BATCH_0114,3,5,Ca Sáng,0,1
BATCH_0115,1,3,Ca Chiều,1,1
BATCH_0116,5,7,Ca Đêm,1,1
BATCH_0117,10,2,Ca Đêm,1,1
BATCH_0118,7,9,Ca Sáng,0,1
BATCH_0119,9,10,Ca Chiều,0,1
BATCH_0120,7,10,Ca Sáng,0,1
BATCH_0121,9,1,Ca Sáng,1,1
BATCH_0122,8,6,Ca Chiều,0,1
BATCH_0123,12,7,Ca Chiều,2,1
BATCH_0124,2,8,Ca Chiều,31,0
BATCH_0125,1,10,Ca Đêm,1,1
BATCH_0126,16,9,Ca Sáng,1,1
BATCH_0127,23,2,Ca Sáng,2,1
BATCH_0128,23,10,Ca Đêm,2,1
BATCH_0129,24,2,Ca Chiều,0,1
BATCH_0130,5,5,Ca Đêm,22,0
BATCH_0131,3,5,Ca Đêm,2,1
BATCH_0132,12,6,Ca Đêm,0,1
BATCH_0133,8,3,Ca Sáng,1,1
BATCH_0134,22,8,Ca Đêm,1,1
BATCH_0135,3,1,Ca Sáng,0,1
BATCH_0136,1,6,Ca Sáng,1,1
BATCH_0137,3,4,Ca Sáng,1,1
BATCH_0138,5,1,Ca Chiều,0,1
BATCH_0139,15,7,Ca Sáng,0,1
BATCH_0140,14,9,Ca Sáng,1,1
BATCH_0141,3,4,Ca Chiều,1,1
BATCH_0142,1,4,Ca Sáng,40,0
BATCH_0143,5,6,Ca Đêm,1,1
BATCH_0144,23,3,Ca Đêm,25,0
BATCH_0145,14,6,Ca Sáng,2,1
BATCH_0146,7,7,Ca Chiều,1,1
BATCH_0147,9,10,Ca Đêm,2,1
BATCH_0148,15,10,Ca Chiều,1,1
BATCH_0149,15,3,Ca Chiều,1,1
BATCH_0150,10,7,Ca Đêm,1,1
BATCH_0151,13,3,Ca Chiều,2,1
BATCH_0152,19,2,Ca Đêm,1,1
BATCH_0153,7,10,Ca Chiều,1,1
BATCH_0154,17,4,Ca Đêm,2,1
BATCH_0155,20,8,Ca Sáng,1,1
BATCH_0156,4,9,Ca Đêm,1,1
BATCH_0157,5,7,Ca Đêm,2,1
BATCH_0158,23,1,Ca Đêm,39,0
BATCH_0159,7,3,Ca Đêm,33,0
BATCH_0160,13,9,Ca Chiều,22,0
BATCH_0161,15,1,Ca Sáng,46,0
BATCH_0162,11,9,Ca Đêm,1,1
BATCH_0163,4,8,Ca Chiều,2,1
BATCH_0164,13,1,Ca Sáng,0,1
BATCH_0165,7,6,Ca Sáng,1,1
BATCH_0166,19,5,Ca Sáng,0,1
BATCH_0167,22,6,Ca Sáng,2,1
BATCH_0168,2,10,Ca Đêm,2,1
BATCH_0169,10,5,Ca Đêm,1,1
BATCH_0170,13,6,Ca Chiều,38,0
BATCH_0171,25,5,Ca Chiều,1,1
BATCH_0172,21,5,Ca Chiều,38,0
BATCH_0173,6,4,Ca Sáng,2,1
BATCH_0174,12,3,Ca Sáng,1,1
BATCH_0175,12,3,Ca Đêm,1,1
BATCH_0176,20,4,Ca Sáng,1,1
BATCH_0177,11,9,Ca Sáng,2,1
BATCH_0178,23,2,Ca Sáng,1,1
BATCH_0179,25,9,Ca Chiều,2,1
BATCH_0180,7,1,Ca Chiều,0,1
BATCH_0181,1,1,Ca Đêm,49,0
BATCH_0182,1,5,Ca Sáng,1,1
BATCH_0183,25,6,Ca Sáng,1,1
BATCH_0184,25,6,Ca Đêm,19,0
BATCH_0185,20,3,Ca Sáng,0,1
BATCH_0186,13,7,Ca Sáng,0,1
BATCH_0187,9,9,Ca Chiều,2,1
BATCH_0188,3,10,Ca Đêm,1,1
BATCH_0189,7,8,Ca Đêm,0,1
BATCH_0190,6,6,Ca Đêm,0,1
BATCH_0191,8,8,Ca Đêm,2,1
BATCH_0192,9,5,Ca Chiều,2,1
BATCH_0193,5,8,Ca Chiều,0,1
BATCH_0194,1,10,Ca Sáng,2,1
BATCH_0195,19,4,Ca Sáng,2,1
BATCH_0196,10,10,Ca Sáng,1,1
BATCH_0197,12,8,Ca Sáng,1,1
BATCH_0198,24,10,Ca Chiều,0,1
BATCH_0199,15,2,Ca Đêm,2,1
BATCH_0200,22,5,Ca Chiều,0,1
BATCH_0201,24,9,Ca Sáng,0,1
BATCH_0202,9,4,Ca Chiều,2,1
BATCH_0203,20,6,Ca Đêm,0,1
BATCH_0204,17,1,Ca Đêm,42,0
BATCH_0205,17,9,Ca Chiều,1,1
BATCH_0206,20,1,Ca Chiều,0,1
BATCH_0207,12,5,Ca Chiều,1,1
BATCH_0208,7,4,Ca Sáng,2,1
BATCH_0209,2,3,Ca Chiều,1,1
BATCH_0210,3,6,Ca Chiều,2,1
BATCH_0211,17,2,Ca Chiều,0,1
BATCH_0212,5,3,Ca Đêm,19,0
BATCH_0213,17,5,Ca Đêm,2,1
BATCH_0214,24,9,Ca Sáng,1,1
BATCH_0215,17,2,Ca Sáng,1,1
BATCH_0216,17,10,Ca Đêm,48,0
BATCH_0217,2,8,Ca Đêm,0,1
BATCH_0218,2,2,Ca Đêm,45,0
BATCH_0219,22,5,Ca Chiều,2,1
BATCH_0220,23,7,Ca Chiều,1,1
BATCH_0221,5,8,Ca Đêm,1,1
BATCH_0222,1,1,Ca Chiều,1,1
BATCH_0223,1,6,Ca Chiều,2,1
BATCH_0224,19,1,Ca Sáng,0,1
BATCH_0225,2,2,Ca Đêm,0,1
BATCH_0226,21,1,Ca Đêm,0,1
BATCH_0227,12,5,Ca Chiều,48,0
BATCH_0228,6,10,Ca Đêm,2,1
BATCH_0229,23,9,Ca Sáng,1,1
BATCH_0230,4,6,Ca Sáng,1,1
BATCH_0231,23,1,Ca Sáng,2,1
BATCH_0232,11,1,Ca Đêm,26,0
BATCH_0233,24,2,Ca Đêm,0,1
BATCH_0234,17,9,Ca Đêm,0,1
BATCH_0235,6,3,Ca Đêm,2,1
BATCH_0236,24,1,Ca Đêm,19,0
BATCH_0237,5,5,Ca Sáng,1,1
BATCH_0238,20,7,Ca Chiều,1,1
BATCH_0239,2,6,Ca Sáng,2,1
BATCH_0240,6,1,Ca Đêm,39,0
BATCH_0241,22,5,Ca Sáng,0,1
BATCH_0242,11,5,Ca Đêm,2,1
BATCH_0243,16,6,Ca Đêm,1,1
BATCH_0244,16,3,Ca Sáng,1,1
BATCH_0245,1,5,Ca Đêm,33,0
BATCH_0246,9,7,Ca Chiều,1,1
BATCH_0247,6,5,Ca Đêm,37,0
BATCH_0248,16,5,Ca Chiều,2,1
BATCH_0249,3,5,Ca Chiều,1,1
BATCH_0250,20,10,Ca Đêm,0,1
BATCH_0251,4,10,Ca Sáng,0,1
BATCH_0252,19,3,Ca Chiều,2,1
BATCH_0253,3,1,Ca Sáng,2,1
BATCH_0254,19,5,Ca Chiều,0,1
BATCH_0255,20,9,Ca Đêm,0,1
BATCH_0256,7,1,Ca Đêm,1,1
BATCH_0257,20,3,Ca Chiều,2,1
BATCH_0258,9,4,Ca Đêm,1,1
BATCH_0259,1,1,Ca Chiều,1,1
BATCH_0260,8,1,Ca Đêm,35,0
BATCH_0261,7,8,Ca Sáng,1,1
BATCH_0262,18,2,Ca Đêm,0,1
BATCH_0263,8,8,Ca Sáng,0,1
BATCH_0264,1,7,Ca Đêm,1,1
BATCH_0265,11,10,Ca Sáng,2,1
BATCH_0266,25,10,Ca Đêm,2,1
BATCH_0267,25,2,Ca Sáng,2,1
BATCH_0268,18,6,Ca Chiều,1,1
BATCH_0269,23,6,Ca Chiều,2,1
BATCH_0270,10,3,Ca Sáng,2,1
BATCH_0271,3,2,Ca Đêm,2,1
BATCH_0272,7,1,Ca Sáng,2,1
BATCH_0273,16,6,Ca Đêm,2,1
BATCH_0274,16,5,Ca Chiều,0,1
BATCH_0275,25,9,Ca Đêm,2,1
BATCH_0276,20,1,Ca Chiều,0,1
BATCH_0277,17,7,Ca Đêm,0,1
BATCH_0278,2,5,Ca Đêm,2,1
BATCH_0279,1,5,Ca Đêm,42,0
BATCH_0280,16,2,Ca Sáng,1,1
BATCH_0281,12,3,Ca Sáng,1,1
BATCH_0282,5,7,Ca Chiều,0,1
BATCH_0283,5,6,Ca Chiều,0,1
BATCH_0284,23,2,Ca Sáng,2,1
BATCH_0285,9,6,Ca Chiều,1,1
BATCH_0286,9,2,Ca Sáng,2,1
BATCH_0287,3,2,Ca Đêm,0,1
BATCH_0288,19,2,Ca Chiều,1,1
BATCH_0289,16,3,Ca Chiều,1,1
BATCH_0290,16,2,Ca Sáng,0,1
BATCH_0291,3,4,Ca Chiều,0,1
BATCH_0292,20,9,Ca Chiều,2,1
BATCH_0293,24,6,Ca Đêm,1,1
BATCH_0294,22,1,Ca Chiều,36,0
BATCH_0295,24,8,Ca Đêm,1,1
BATCH_0296,1,7,Ca Sáng,1,1
BATCH_0297,24,10,Ca Chiều,0,1
BATCH_0298,20,3,Ca Đêm,22,0
BATCH_0299,11,1,Ca Sáng,40,0
BATCH_0300,17,5,Ca Chiều,1,1
BATCH_0301,8,4,Ca Sáng,2,1
BATCH_0302,4,10,Ca Chiều,1,1
BATCH_0303,6,8,Ca Sáng,1,1
BATCH_0304,8,1,Ca Sáng,1,1
BATCH_0305,20,10,Ca Đêm,0,1
BATCH_0306,3,1,Ca Sáng,48,0
BATCH_0307,16,4,Ca Chiều,0,1
BATCH_0308,25,8,Ca Chiều,0,1
BATCH_0309,3,5,Ca Đêm,2,1
BATCH_0310,25,2,Ca Chiều,1,1
BATCH_0311,18,6,Ca Chiều,0,1
BATCH_0312,14,5,Ca Chiều,1,1
BATCH_0313,18,2,Ca Sáng,2,1
BATCH_0314,2,3,Ca Sáng,1,1
BATCH_0315,22,9,Ca Chiều,1,1
BATCH_0316,3,7,Ca Đêm,0,1
BATCH_0317,16,7,Ca Sáng,2,1
BATCH_0318,9,6,Ca Đêm,1,1
BATCH_0319,4,8,Ca Chiều,1,1
BATCH_0320,1,4,Ca Chiều,2,1
BATCH_0321,4,8,Ca Sáng,0,1
BATCH_0322,1,4,Ca Chiều,2,1
BATCH_0323,14,8,Ca Sáng,0,1
BATCH_0324,21,9,Ca Chiều,0,1
BATCH_0325,16,3,Ca Chiều,0,1
BATCH_0326,20,3,Ca Sáng,1,1
BATCH_0327,24,2,Ca Sáng,2,1
BATCH_0328,8,10,Ca Sáng,1,1
BATCH_0329,7,3,Ca Chiều,2,1
BATCH_0330,3,3,Ca Chiều,0,1
BATCH_0331,17,5,Ca Đêm,1,1
BATCH_0332,1,5,Ca Sáng,2,1
BATCH_0333,16,2,Ca Chiều,1,1
BATCH_0334,12,10,Ca Chiều,1,1
BATCH_0335,19,6,Ca Sáng,1,1
BATCH_0336,22,5,Ca Đêm,0,1
BATCH_0337,23,6,Ca Sáng,2,1
BATCH_0338,22,1,Ca Đêm,30,0
BATCH_0339,14,5,Ca Chiều,1,1
BATCH_0340,6,9,Ca Đêm,0,1
BATCH_0341,6,10,Ca Chiều,2,1
BATCH_0342,13,2,Ca Sáng,0,1
BATCH_0343,19,1,Ca Sáng,2,1
BATCH_0344,22,10,Ca Sáng,0,1
BATCH_0345,8,9,Ca Đêm,0,1
BATCH_0346,2,10,Ca Chiều,0,1
BATCH_0347,21,9,Ca Sáng,1,1
BATCH_0348,1,9,Ca Sáng,2,1
BATCH_0349,15,6,Ca Chiều,0,1
BATCH_0350,1,8,Ca Sáng,1,1
BATCH_0351,5,1,Ca Chiều,0,1
BATCH_0352,16,10,Ca Chiều,0,1
BATCH_0353,19,4,Ca Chiều,0,1
BATCH_0354,4,1,Ca Chiều,0,1
BATCH_0355,3,8,Ca Chiều,0,1
BATCH_0356,17,1,Ca Đêm,25,0
BATCH_0357,17,3,Ca Sáng,1,1
BATCH_0358,12,4,Ca Đêm,1,1
BATCH_0359,14,8,Ca Sáng,2,1
BATCH_0360,21,6,Ca Đêm,2,1
BATCH_0361,6,10,Ca Chiều,26,0
BATCH_0362,3,7,Ca Sáng,1,1
BATCH_0363,9,8,Ca Sáng,0,1
BATCH_0364,5,2,Ca Đêm,1,1
BATCH_0365,24,10,Ca Đêm,20,0
BATCH_0366,17,8,Ca Sáng,2,1
BATCH_0367,14,3,Ca Đêm,0,1
BATCH_0368,21,7,Ca Đêm,2,1
BATCH_0369,3,3,Ca Đêm,1,1
BATCH_0370,1,7,Ca Chiều,1,1
BATCH_0371,20,2,Ca Chiều,24,0
BATCH_0372,21,10,Ca Đêm,39,0
BATCH_0373,23,6,Ca Đêm,0,1
BATCH_0374,1,3,Ca Chiều,1,1
BATCH_0375,3,3,Ca Chiều,1,1
BATCH_0376,18,9,Ca Sáng,2,1
BATCH_0377,25,7,Ca Sáng,20,0
BATCH_0378,10,5,Ca Chiều,0,1
BATCH_0379,22,10,Ca Đêm,0,1
BATCH_0380,3,7,Ca Đêm,0,1
BATCH_0381,8,9,Ca Đêm,0,1
BATCH_0382,14,1,Ca Đêm,46,0
BATCH_0383,24,7,Ca Sáng,0,1
BATCH_0384,18,6,Ca Chiều,1,1
BATCH_0385,15,10,Ca Đêm,2,1
BATCH_0386,22,9,Ca Sáng,0,1
BATCH_0387,23,1,Ca Đêm,1,1
BATCH_0388,2,4,Ca Chiều,2,1
BATCH_0389,10,9,Ca Sáng,0,1
BATCH_0390,2,4,Ca Chiều,1,1
BATCH_0391,17,10,Ca Chiều,1,1
BATCH_0392,8,3,Ca Sáng,45,0
BATCH_0393,1,9,Ca Sáng,0,1
BATCH_0394,9,2,Ca Sáng,0,1
BATCH_0395,11,4,Ca Sáng,0,1
BATCH_0396,22,6,Ca Sáng,1,1
BATCH_0397,16,2,Ca Sáng,0,1
BATCH_0398,7,8,Ca Sáng,2,1
BATCH_0399,10,8,Ca Đêm,0,1
BATCH_0400,23,1,Ca Chiều,0,1
BATCH_0401,3,3,Ca Sáng,1,1
BATCH_0402,18,10,Ca Đêm,2,1
BATCH_0403,25,9,Ca Đêm,2,1
BATCH_0404,24,5,Ca Đêm,0,1
BATCH_0405,13,6,Ca Chiều,2,1
BATCH_0406,7,4,Ca Sáng,1,1
BATCH_0407,25,10,Ca Đêm,0,1
BATCH_0408,4,2,Ca Chiều,1,1
BATCH_0409,13,8,Ca Chiều,1,1
BATCH_0410,20,6,Ca Chiều,1,1
BATCH_0411,1,5,Ca Đêm,0,1
BATCH_0412,8,9,Ca Sáng,1,1
BATCH_0413,14,1,Ca Đêm,0,1
BATCH_0414,16,5,Ca Đêm,0,1
BATCH_0415,14,6,Ca Sáng,0,1
BATCH_0416,12,5,Ca Sáng,32,0
BATCH_0417,19,6,Ca Sáng,0,1
BATCH_0418,23,6,Ca Chiều,2,1
BATCH_0419,15,7,Ca Sáng,2,1
BATCH_0420,2,4,Ca Đêm,1,1
BATCH_0421,2,8,Ca Sáng,1,1
BATCH_0422,23,7,Ca Đêm,0,1
BATCH_0423,22,9,Ca Chiều,0,1
BATCH_0424,19,7,Ca Đêm,0,1
BATCH_0425,25,3,Ca Đêm,31,0
BATCH_0426,22,3,Ca Sáng,0,1
BATCH_0427,22,8,Ca Sáng,0,1
BATCH_0428,17,5,Ca Đêm,1,1
BATCH_0429,20,4,Ca Sáng,0,1
BATCH_0430,10,8,Ca Chiều,2,1
BATCH_0431,6,6,Ca Chiều,2,1
BATCH_0432,15,2,Ca Sáng,0,1
BATCH_0433,22,4,Ca Chiều,2,1
BATCH_0434,11,4,Ca Sáng,2,1
BATCH_0435,5,6,Ca Đêm,0,1
BATCH_0436,1,6,Ca Đêm,0,1
BATCH_0437,8,1,Ca Chiều,2,1
BATCH_0438,21,8,Ca Sáng,0,1
BATCH_0439,12,6,Ca Sáng,2,1
BATCH_0440,12,3,Ca Chiều,0,1
BATCH_0441,5,9,Ca Đêm,1,1
BATCH_0442,7,2,Ca Chiều,2,1
BATCH_0443,4,8,Ca Đêm,33,0
BATCH_0444,6,10,Ca Sáng,2,1
BATCH_0445,13,3,Ca Đêm,0,1
BATCH_0446,20,5,Ca Chiều,1,1
BATCH_0447,15,6,Ca Sáng,1,1
BATCH_0448,3,10,Ca Chiều,0,1
BATCH_0449,23,6,Ca Chiều,0,1
BATCH_0450,8,4,Ca Đêm,29,0
BATCH_0451,20,3,Ca Chiều,0,1
BATCH_0452,16,4,Ca Đêm,1,1
BATCH_0453,13,1,Ca Sáng,0,1
BATCH_0454,18,4,Ca Đêm,1,1
BATCH_0455,10,1,Ca Sáng,24,0
BATCH_0456,19,1,Ca Đêm,26,0
BATCH_0457,17,10,Ca Chiều,1,1
BATCH_0458,24,6,Ca Đêm,0,1
BATCH_0459,19,5,Ca Đêm,30,0
BATCH_0460,23,4,Ca Sáng,1,1
BATCH_0461,5,3,Ca Chiều,2,1
BATCH_0462,21,1,Ca Đêm,1,1
BATCH_0463,23,6,Ca Chiều,0,1
BATCH_0464,9,2,Ca Đêm,1,1
BATCH_0465,12,8,Ca Đêm,0,1
BATCH_0466,21,10,Ca Chiều,1,1
BATCH_0467,1,5,Ca Đêm,46,0
BATCH_0468,1,7,Ca Chiều,0,1
BATCH_0469,15,10,Ca Đêm,2,1
BATCH_0470,2,2,Ca Sáng,1,1
BATCH_0471,22,8,Ca Chiều,0,1
BATCH_0472,16,2,Ca Đêm,2,1
BATCH_0473,25,4,Ca Đêm,0,1
BATCH_0474,8,1,Ca Sáng,1,1
BATCH_0475,13,5,Ca Chiều,1,1
BATCH_0476,21,9,Ca Đêm,2,1
BATCH_0477,1,1,Ca Sáng,1,1
BATCH_0478,16,9,Ca Đêm,36,0
BATCH_0479,7,8,Ca Chiều,0,1
BATCH_0480,5,6,Ca Đêm,0,1
BATCH_0481,22,7,Ca Đêm,2,1
BATCH_0482,23,3,Ca Đêm,29,0
BATCH_0483,3,1,Ca Đêm,38,0
BATCH_0484,12,5,Ca Sáng,1,1
BATCH_0485,16,2,Ca Sáng,0,1
BATCH_0486,19,5,Ca Chiều,2,1
BATCH_0487,5,8,Ca Sáng,2,1
BATCH_0488,22,9,Ca Sáng,1,1
BATCH_0489,25,2,Ca Chiều,2,1
BATCH_0490,14,3,Ca Sáng,0,1
BATCH_0491,5,3,Ca Sáng,1,1
BATCH_0492,15,1,Ca Chiều,0,1
BATCH_0493,17,8,Ca Chiều,2,1
BATCH_0494,14,6,Ca Chiều,49,0
BATCH_0495,20,8,Ca Đêm,1,1
BATCH_0496,5,9,Ca Đêm,0,1
BATCH_0497,12,5,Ca Chiều,1,1
BATCH_0498,16,3,Ca Chiều,2,1
BATCH_0499,16,5,Ca Chiều,0,1
BATCH_0500,21,5,Ca Đêm,1,1
