MachineID,MachineType,Temperature_C,Vibration_mm_s,Voltage_V,Current_A,Power_Consumption_kWh,Runtime_Hours,Failure_Status
M00135,Type_22,67.23,1.84,224.7,15.84,3.203,489.2,0
M00136,Type_16,66.48,1.85,222.9,16.49,3.308,117.2,0
M00137,Type_16,83.92,2.27,226.0,20.08,4.084,52.2,0
M00138,Type_08,61.38,3.24,218.5,18.09,3.557,799.5,0
M00139,Type_20,57.11,1.24,216.8,15.78,3.079,640.7,0
M00140,Type_25,63.12,1.88,227.3,20.07,4.106,164.2,0
M00141,Type_01,72.48,2.41,225.6,15.0,3.046,615.6,0
M00142,Type_16,72.41,3.61,218.2,4.94,0.97,201.8,1
M00143,Type_20,57.64,2.09,204.9,17.51,3.229,207.0,1
M00144,Type_18,51.12,2.35,211.2,18.66,3.547,310.0,0
M00145,Type_04,51.55,2.31,214.7,14.82,2.864,652.6,0
M00146,Type_09,70.28,1.69,224.8,19.61,3.967,528.0,0
M00147,Type_23,79.5,3.49,223.0,13.19,2.647,366.1,0
M00148,Type_05,70.75,1.71,222.9,12.15,2.437,796.2,0
M00149,Type_10,62.23,2.54,209.1,13.96,2.627,429.5,0
M00150,Type_24,64.94,0.87,217.4,21.29,4.166,682.3,0
M00151,Type_02,54.75,2.22,218.7,13.28,2.614,839.4,0
M00152,Type_12,64.62,2.61,222.3,14.86,2.973,377.3,0
M00153,Type_15,65.68,2.42,215.0,18.47,3.574,693.0,0
M00154,Type_03,84.49,2.1,235.1,15.19,3.214,423.6,1
M00155,Type_08,56.98,1.25,215.2,17.92,3.471,303.0,0
M00156,Type_06,66.62,0.95,225.5,15.47,3.14,526.4,0
M00157,Type_24,64.97,0.55,216.3,16.23,3.159,932.6,0
M00158,Type_24,66.72,2.43,229.5,19.1,3.945,760.2,0
M00159,Type_18,61.12,2.72,218.1,16.3,3.2,466.5,0
M00160,Type_25,55.4,2.77,213.8,15.46,2.975,198.1,0
M00161,Type_05,67.71,3.34,216.8,16.98,3.313,962.1,0
M00162,Type_02,62.1,3.23,225.4,10.58,2.146,422.1,0
M00163,Type_24,65.09,0.2,213.6,21.52,4.137,782.5,0
M00164,Type_25,58.25,2.43,211.2,14.68,2.79,993.2,0
M00165,Type_02,65.7,2.9,201.9,13.31,2.419,68.3,1
M00166,Type_06,83.91,0.86,227.1,17.64,3.605,531.5,0
M00167,Type_06,70.93,1.45,217.4,12.05,2.358,529.3,0
M00168,Type_02,65.44,1.92,222.1,15.46,3.09,184.6,0
M00169,Type_09,54.66,1.61,222.4,14.64,2.93,960.9,0
M00170,Type_01,49.24,2.42,219.1,14.59,2.877,564.5,0
M00171,Type_11,64.27,0.8,217.3,15.31,2.994,538.7,0
M00172,Type_19,61.91,2.55,219.0,16.54,3.26,216.0,0
M00173,Type_04,62.86,2.33,227.0,16.73,3.418,341.2,0
M00174,Type_09,60.54,0.1,221.8,16.07,3.208,613.2,0
M00175,Type_15,58.83,1.45,216.0,15.82,3.075,79.4,0
M00176,Type_24,73.93,3.25,217.3,17.01,3.327,215.3,0
M00177,Type_15,68.17,3.05,218.6,15.39,3.028,825.4,0
M00178,Type_09,73.66,2.21,221.9,14.87,2.97,890.0,0
M00179,Type_09,68.23,1.48,211.6,15.41,2.935,105.8,0
M00180,Type_05,63.99,1.02,228.9,15.54,3.201,626.0,0
M00181,Type_22,65.6,3.11,220.4,15.73,3.12,638.2,0
M00182,Type_02,58.83,3.04,227.1,12.51,2.557,907.2,0
M00183,Type_08,66.13,1.39,219.8,15.13,2.993,92.1,0
M00184,Type_21,72.03,2.5,215.0,14.58,2.821,694.5,0
M00185,Type_14,69.54,1.86,214.6,15.43,2.98,799.3,0
M00186,Type_12,80.61,1.29,220.8,11.46,2.277,107.2,0
M00187,Type_08,55.71,1.55,221.2,16.29,3.243,364.0,0
M00188,Type_01,47.77,0.1,214.0,18.1,3.486,463.4,0
M00189,Type_09,49.8,3.46,213.0,12.13,2.325,220.0,0
M00190,Type_09,116.86,1.9,221.8,13.97,2.789,171.1,1
M00191,Type_18,63.26,1.08,221.8,10.48,2.092,672.9,0
M00192,Type_12,52.89,1.94,220.8,12.47,2.478,914.1,0
M00193,Type_03,58.13,1.1,242.3,13.96,3.044,957.5,1
M00194,Type_22,73.45,4.11,216.4,15.91,3.099,945.9,0
M00195,Type_17,55.76,2.03,216.1,15.21,2.958,868.3,0
M00196,Type_01,70.72,0.17,228.0,19.38,3.977,631.4,0
M00197,Type_07,74.07,1.79,227.6,18.15,3.718,819.2,0
M00198,Type_16,60.5,0.86,219.6,14.11,2.789,736.7,0
M00199,Type_11,64.44,0.96,216.5,12.02,2.342,817.6,0
M00200,Type_15,80.63,3.31,218.0,16.99,3.333,966.5,0
M00201,Type_16,65.73,2.98,216.9,13.79,2.692,941.8,0
M00202,Type_13,73.81,2.07,221.6,13.81,2.754,618.7,0
M00203,Type_04,69.91,0.81,214.9,15.29,2.957,481.8,0
M00204,Type_03,63.2,2.88,220.2,15.91,3.153,857.4,0
M00205,Type_20,69.56,3.65,233.7,16.27,3.422,734.5,1
M00206,Type_13,65.47,7.27,209.4,17.64,3.324,703.8,1
M00207,Type_24,75.21,1.09,211.6,16.65,3.171,237.4,0
M00208,Type_15,72.41,1.93,213.1,15.84,3.038,719.5,0
M00209,Type_11,70.09,2.86,222.7,17.58,3.524,492.5,0
M00210,Type_23,58.92,1.84,224.2,15.89,3.206,634.8,0
M00211,Type_05,53.33,1.47,225.1,13.94,2.824,942.1,0
M00212,Type_02,57.49,1.24,220.0,14.91,2.952,666.4,0
M00213,Type_15,60.04,1.59,222.1,12.52,2.503,872.9,0
M00214,Type_24,72.85,3.1,217.3,19.07,3.73,735.6,0
M00215,Type_12,64.98,1.46,214.7,13.32,2.574,579.1,0
M00216,Type_08,59.87,1.98,226.9,16.54,3.378,516.2,0
M00217,Type_04,50.92,3.48,223.4,14.46,2.907,626.4,0
M00218,Type_03,65.83,0.93,214.6,17.05,3.293,480.2,0
M00219,Type_17,60.29,2.91,225.4,13.93,2.826,641.3,0
M00220,Type_03,72.77,1.69,241.6,15.75,3.425,184.9,1
M00221,Type_06,60.07,1.87,218.8,15.95,3.141,70.4,0
M00222,Type_22,56.51,1.97,221.3,17.77,3.539,164.2,0
M00223,Type_16,56.12,2.53,217.7,13.5,2.645,826.0,0
M00224,Type_01,74.49,1.99,215.0,12.72,2.461,150.2,0
M00225,Type_23,68.91,2.48,223.9,14.39,2.9,491.8,0
M00226,Type_20,57.64,3.45,217.5,16.07,3.146,396.3,0
M00227,Type_03,52.32,0.1,211.7,19.8,3.772,248.5,0
M00228,Type_05,75.4,4.43,223.4,11.46,2.304,273.2,0
M00229,Type_16,76.27,1.5,222.5,11.85,2.373,220.3,0
M00230,Type_14,65.99,2.62,222.0,22.37,4.47,601.5,0
M00231,Type_01,79.89,0.83,222.5,15.39,3.082,327.9,0
M00232,Type_12,77.14,1.3,218.1,9.7,1.904,681.8,0
M00233,Type_11,76.81,1.63,223.6,13.99,2.815,685.1,0
M00234,Type_12,67.44,1.19,218.4,36.06,7.088,843.9,1
M00235,Type_07,86.92,2.17,222.6,13.86,2.777,279.5,0
M00236,Type_01,72.51,1.42,226.0,14.38,2.925,810.6,0
M00237,Type_18,83.05,1.49,227.0,21.41,4.374,856.7,0
M00238,Type_01,50.02,2.14,213.1,16.37,3.14,346.8,0
M00239,Type_20,60.92,1.05,223.5,19.11,3.844,287.9,0
M00240,Type_19,56.53,0.9,215.6,16.95,3.289,444.9,0
M00241,Type_17,75.62,2.36,216.9,11.9,2.323,909.6,0
M00242,Type_01,73.32,2.03,213.2,13.05,2.504,692.6,0
M00243,Type_03,50.97,2.71,216.3,15.54,3.025,61.4,0
M00244,Type_24,76.07,1.24,221.7,12.35,2.464,567.8,0
M00245,Type_09,74.39,0.56,219.5,10.38,2.051,629.7,0
M00246,Type_05,66.1,2.44,224.1,14.56,2.937,219.4,0
M00247,Type_18,56.08,1.83,219.1,16.09,3.173,654.0,0
M00248,Type_05,69.14,2.97,225.7,13.99,2.842,677.4,0
M00249,Type_09,71.06,1.8,221.2,19.36,3.854,58.2,0
M00250,Type_02,67.35,2.05,203.7,14.96,2.743,813.2,1
M00251,Type_08,55.99,2.95,216.9,21.14,4.127,375.9,0
M00252,Type_03,63.0,9.82,218.3,15.13,2.973,496.5,1
M00253,Type_15,83.99,0.81,219.0,11.88,2.342,999.8,0
M00254,Type_02,62.05,4.4,221.1,15.15,3.015,454.2,0
M00255,Type_13,56.35,2.81,217.2,16.92,3.308,359.8,0
M00256,Type_22,57.19,0.71,217.1,16.66,3.255,269.9,0
M00257,Type_05,78.95,3.18,223.3,18.18,3.654,319.8,0
M00258,Type_11,67.94,3.08,207.3,15.32,2.858,365.1,0
M00259,Type_14,71.11,1.49,215.3,13.45,2.606,721.6,0
M00260,Type_16,68.21,1.18,219.3,17.74,3.501,743.8,0
M00261,Type_14,55.99,2.75,220.2,18.48,3.662,761.6,0
M00262,Type_13,77.21,2.29,226.1,14.55,2.961,317.3,0
M00263,Type_22,81.54,1.02,220.2,12.04,2.386,336.6,0
M00264,Type_15,61.13,2.52,216.5,14.77,2.878,982.5,0
M00265,Type_10,67.72,1.25,200.0,11.96,2.153,244.3,1
M00266,Type_16,62.2,2.6,218.8,16.41,3.231,67.2,0
M00267,Type_07,51.39,1.66,221.5,16.52,3.293,467.9,0
M00268,Type_08,64.12,1.8,225.8,16.93,3.441,87.6,0
M00269,Type_22,86.46,0.86,227.2,16.76,3.427,999.4,0
M00270,Type_24,63.36,1.85,219.5,14.66,2.896,135.5,0
M00271,Type_07,64.5,0.1,222.8,12.4,2.486,847.2,0
M00272,Type_25,68.7,0.17,214.8,15.3,2.958,234.8,0
M00273,Type_01,80.22,2.42,214.5,14.13,2.728,546.0,0
M00274,Type_07,72.38,0.99,209.9,13.79,2.605,434.2,0
M00275,Type_16,46.33,1.54,224.6,11.83,2.391,965.5,0
M00276,Type_10,69.1,1.69,223.1,10.5,2.108,446.2,0
M00277,Type_14,64.18,2.5,219.6,14.6,2.886,350.8,0
M00278,Type_23,51.57,1.75,224.0,10.46,2.109,455.3,0
M00279,Type_08,78.03,3.13,223.1,15.07,3.026,663.4,0
M00280,Type_15,108.28,10.96,244.5,45.24,9.955,328.6,1
M00281,Type_09,48.53,2.46,222.6,10.08,2.019,668.3,0
M00282,Type_12,62.79,2.68,217.2,17.76,3.472,886.5,0
M00283,Type_17,69.39,1.78,221.3,15.94,3.175,52.4,0
M00284,Type_14,75.75,2.85,213.2,15.6,2.993,850.3,0
M00285,Type_07,63.23,2.14,228.3,20.51,4.214,577.6,0
M00286,Type_24,51.75,1.73,219.6,53.29,10.532,261.5,1
M00287,Type_03,84.54,0.23,220.9,3.94,0.783,320.3,1
M00288,Type_12,49.14,2.24,217.7,10.85,2.126,387.5,0
M00289,Type_01,76.24,1.39,220.5,23.74,4.711,918.6,0
M00290,Type_17,42.97,3.12,220.1,21.13,4.186,722.7,0
M00291,Type_24,65.39,2.68,226.6,18.11,3.693,815.7,0
M00292,Type_01,67.64,1.57,227.0,18.99,3.88,742.3,0
M00293,Type_23,52.48,1.11,227.1,13.6,2.78,52.7,0
M00294,Type_08,77.75,2.78,224.6,14.28,2.887,419.6,0
M00295,Type_18,63.57,1.26,217.8,16.87,3.307,900.4,0
M00296,Type_21,70.08,0.41,223.0,13.39,2.687,491.3,0
M00297,Type_15,87.92,1.57,218.3,12.85,2.525,161.8,0
M00298,Type_15,49.88,10.75,228.5,19.77,4.066,720.2,1
M00299,Type_25,75.15,1.76,220.4,21.28,4.221,85.0,0
M00300,Type_15,58.64,1.15,225.4,13.47,2.733,550.8,0
M00301,Type_01,71.03,1.48,224.8,16.99,3.437,916.1,0
M00302,Type_21,59.57,1.79,226.2,8.81,1.794,430.9,1
M00303,Type_21,82.88,2.56,222.3,15.8,3.161,459.9,0
M00304,Type_06,60.7,1.43,234.3,19.73,4.16,56.9,1
M00305,Type_13,65.49,2.33,217.9,10.19,1.998,933.5,0
M00306,Type_16,67.57,2.46,218.2,14.17,2.783,92.2,0
M00307,Type_01,70.47,2.06,224.2,17.23,3.477,762.4,0
M00308,Type_19,71.0,2.18,215.6,14.79,2.87,460.3,0
M00309,Type_07,58.79,2.29,224.7,19.8,4.004,977.9,0
M00310,Type_01,65.43,0.22,224.2,18.9,3.814,348.3,0
M00311,Type_12,68.35,2.09,221.8,15.42,3.078,157.2,0
M00312,Type_06,60.74,3.04,225.9,12.39,2.519,844.8,0
M00313,Type_24,70.85,2.56,224.5,16.78,3.39,594.9,0
M00314,Type_11,63.41,1.5,212.3,19.97,3.816,990.8,0
M00315,Type_14,54.34,2.19,233.9,21.33,4.49,509.9,1
M00316,Type_13,78.19,7.46,220.1,13.62,2.698,357.7,1
M00317,Type_10,47.41,1.25,222.7,12.59,2.523,752.0,0
M00318,Type_08,77.05,1.07,225.5,17.1,3.47,659.7,0
M00319,Type_07,66.36,2.05,225.0,21.95,4.445,746.2,0
M00320,Type_22,60.07,2.34,225.2,16.48,3.34,256.8,0
M00321,Type_17,56.46,2.61,227.0,16.78,3.428,707.3,0
M00322,Type_06,69.3,2.21,216.2,17.31,3.368,498.2,0
M00323,Type_21,59.51,3.6,217.4,17.45,3.414,91.1,0
M00324,Type_18,74.36,6.54,224.0,20.36,4.105,403.4,1
M00325,Type_24,51.08,1.22,226.7,16.05,3.275,477.9,0
M00326,Type_10,66.27,1.02,224.9,14.85,3.006,991.9,0
M00327,Type_05,61.51,2.28,228.2,18.51,3.802,724.2,0
M00328,Type_11,79.56,2.63,216.1,17.02,3.31,536.8,0
M00329,Type_02,55.64,1.73,221.2,7.68,1.529,317.7,1
M00330,Type_02,59.47,1.04,220.4,17.77,3.525,733.7,0
M00331,Type_18,73.21,2.55,231.3,16.05,3.341,626.9,0
M00332,Type_01,82.62,1.76,225.1,16.31,3.304,884.1,0
M00333,Type_01,61.07,0.23,225.1,17.12,3.468,394.6,0
M00334,Type_15,61.26,0.1,221.7,15.65,3.123,466.3,0
M00335,Type_03,40.92,2.64,219.2,17.13,3.379,931.3,0
M00336,Type_24,43.07,1.24,213.8,10.34,1.99,748.2,0
M00337,Type_18,57.49,0.83,219.9,15.54,3.076,892.3,0
M00338,Type_17,67.18,2.51,225.6,14.03,2.849,563.5,0
M00339,Type_18,57.27,0.1,219.2,16.07,3.17,262.2,0
M00340,Type_13,66.39,2.67,218.1,16.55,3.249,295.4,0
M00341,Type_14,63.01,3.44,225.9,14.38,2.924,446.9,0
M00342,Type_03,57.19,1.52,221.2,3.31,0.659,973.8,1
M00343,Type_17,71.66,2.4,215.6,12.96,2.515,212.2,0
M00344,Type_24,60.03,3.23,200.0,9.15,1.647,298.3,1
M00345,Type_25,63.21,2.04,220.3,18.1,3.589,667.0,0
M00346,Type_25,72.79,0.42,218.3,14.24,2.798,841.7,0
M00347,Type_04,64.97,3.4,211.2,12.73,2.42,390.0,0
M00348,Type_09,62.1,1.99,215.6,13.87,2.691,221.2,0
M00349,Type_01,55.58,2.31,219.3,15.02,2.964,229.4,0
M00350,Type_14,80.31,2.59,215.8,17.79,3.455,129.5,0
M00351,Type_05,72.82,0.96,219.8,15.06,2.979,50.4,0
M00352,Type_17,51.82,2.38,218.6,13.98,2.75,590.0,0
M00353,Type_15,53.36,2.46,215.1,16.86,3.264,426.1,0
M00354,Type_17,73.22,3.2,213.9,18.8,3.619,118.4,0
M00355,Type_20,61.76,1.17,218.9,15.77,3.107,805.3,0
M00356,Type_16,80.37,2.46,216.4,15.47,3.013,674.7,0
M00357,Type_14,56.71,1.34,220.6,14.6,2.899,500.3,0
M00358,Type_05,72.38,1.11,220.7,15.42,3.063,788.8,0
M00359,Type_21,60.09,3.31,215.3,15.96,3.093,690.6,0
M00360,Type_02,53.65,1.65,213.6,19.04,3.66,431.8,0
M00361,Type_05,60.5,1.9,226.5,17.38,3.543,786.9,0
M00362,Type_04,69.29,2.25,209.2,18.78,3.536,885.0,1
M00363,Type_14,62.6,0.75,216.7,12.03,2.346,157.6,0
M00364,Type_24,60.09,2.31,219.9,18.55,3.671,551.4,0
M00365,Type_06,60.52,2.12,216.9,13.74,2.682,945.9,0
M00366,Type_13,86.74,0.25,215.5,11.55,2.24,929.8,0
M00367,Type_01,66.83,2.03,226.2,18.34,3.734,401.7,0
M00368,Type_21,57.3,0.66,218.9,14.56,2.868,875.4,0
M00369,Type_06,62.36,2.35,219.5,16.73,3.305,551.1,0
M00370,Type_21,71.94,2.8,213.6,13.05,2.509,995.0,0
M00371,Type_01,49.82,2.35,210.1,19.97,3.776,610.0,0
M00372,Type_13,63.68,1.79,222.0,16.96,3.389,900.9,0
M00373,Type_15,83.5,2.7,213.1,17.05,3.27,598.1,0
M00374,Type_20,50.89,0.1,224.9,18.8,3.805,294.9,0
M00375,Type_23,86.56,0.51,214.7,21.26,4.108,315.1,0
M00376,Type_06,67.67,1.82,224.2,17.09,3.448,390.6,0
M00377,Type_04,54.88,1.74,212.4,11.56,2.21,953.1,0
M00378,Type_22,60.42,2.3,223.3,17.53,3.523,360.0,0
M00379,Type_09,69.89,3.27,219.0,17.94,3.536,864.2,0
M00380,Type_14,68.08,2.7,215.4,15.57,3.018,914.5,0
M00381,Type_20,64.99,2.24,220.3,8.4,1.665,315.2,0
M00382,Type_03,76.36,1.15,225.3,18.3,3.711,464.2,0
M00383,Type_10,80.18,2.33,213.3,13.59,2.609,317.1,0
M00384,Type_13,57.26,1.94,211.5,17.2,3.274,311.6,0
M00385,Type_16,67.21,0.61,224.1,13.62,2.747,643.8,0
M00386,Type_22,77.3,2.17,225.8,12.93,2.628,861.7,0
M00387,Type_22,73.69,0.45,222.9,17.27,3.465,620.4,0
M00388,Type_22,72.47,2.77,218.2,21.98,4.316,874.3,0
M00389,Type_08,65.85,0.1,222.5,16.43,3.29,266.1,0
M00390,Type_09,55.71,1.33,219.1,23.17,4.569,755.5,0
M00391,Type_16,68.27,0.94,221.1,13.37,2.66,219.1,0
M00392,Type_06,65.79,2.61,218.7,14.09,2.773,677.5,0
M00393,Type_18,61.24,0.15,219.6,13.12,2.593,236.8,0
M00394,Type_19,70.08,2.97,216.2,21.09,4.104,240.0,0
M00395,Type_19,76.28,0.98,221.3,12.24,2.438,888.4,0
M00396,Type_09,56.27,2.58,221.4,12.07,2.405,720.8,0
