MachineID,MachineType,Temperature_C,Vibration_mm_s,Voltage_V,Current_A,Power_Consumption_kWh,Runtime_Hours,Failure_Status,Predict_Failure_Prob,Current_Status,Alert_Reason_vs_Specs,Top_Risk_Factor
M05573,Type_15,102.92,9.8,247.5,43.47,9.683,704.1,1,1.0,Failed,Temp 102.9C > Spec Max 98.4 | Vib 9.80 > Spec Max 9.29 | Volt 247.5 > Spec Max 232.7 | Curr 43.5 > Spec Max 35.6,Vibration_mm_s (9.8)
M05621,Type_14,116.78,8.71,240.1,54.79,11.84,780.8,1,1.0,Failed,Temp 116.8C > Spec Max 115.0 | Vib 8.71 > Spec Max 7.33 | Volt 240.1 > Spec Max 230.1 | Curr 54.8 > Spec Max 45.5,Vibration_mm_s (8.7)
M05884,Type_08,107.07,10.41,247.2,59.24,13.18,635.6,1,1.0,Failed,Temp 107.1C > Spec Max 101.5 | Vib 10.41 > Spec Max 9.83 | Volt 247.2 > Spec Max 234.1 | Curr 59.2 > Spec Max 49.8,Vibration_mm_s (10.4)
M06188,Type_12,103.79,5.58,246.9,36.77,8.171,378.4,1,1.0,Failed,Temp 103.8C > Spec Max 97.3 | Vib 5.58 > Spec Max 4.55 | Volt 246.9 > Spec Max 232.5 | Curr 36.8 > Spec Max 32.4,Vibration_mm_s (5.6)
M06204,Type_13,104.83,6.4,251.1,46.45,10.497,727.4,1,1.0,Failed,Temp 104.8C > Spec Max 103.8 | Vib 6.40 > Spec Max 5.25 | Volt 251.1 > Spec Max 237.0 | Curr 46.5 > Spec Max 40.5,Vibration_mm_s (6.4)
M06382,Type_16,114.49,8.0,243.3,49.54,10.848,534.7,1,1.0,Failed,Temp 114.5C > Spec Max 106.0 | Vib 8.00 > Spec Max 6.87 | Volt 243.3 > Spec Max 233.3 | Curr 49.5 > Spec Max 47.2,Vibration_mm_s (8.0)
M06400,Type_13,110.5,6.58,242.1,45.21,9.851,876.2,1,1.0,Failed,Temp 110.5C > Spec Max 103.8 | Vib 6.58 > Spec Max 5.25 | Volt 242.1 > Spec Max 237.0 | Curr 45.2 > Spec Max 40.5,Vibration_mm_s (6.6)
M06459,Type_13,107.55,6.59,242.5,45.63,9.959,475.5,1,1.0,Failed,Temp 107.5C > Spec Max 103.8 | Vib 6.59 > Spec Max 5.25 | Volt 242.5 > Spec Max 237.0 | Curr 45.6 > Spec Max 40.5,Vibration_mm_s (6.6)
M06510,Type_23,100.97,12.61,241.6,55.29,12.022,141.9,1,1.0,Failed,Temp 101.0C > Spec Max 94.8 | Vib 12.61 > Spec Max 9.94 | Volt 241.6 > Spec Max 236.1 | Curr 55.3 > Spec Max 45.6,Vibration_mm_s (12.6)
M06642,Type_14,118.4,7.88,243.2,53.95,11.809,623.1,1,1.0,Failed,Temp 118.4C > Spec Max 115.0 | Vib 7.88 > Spec Max 7.33 | Volt 243.2 > Spec Max 230.1 | Curr 54.0 > Spec Max 45.5,Vibration_mm_s (7.9)
M06657,Type_22,111.86,7.14,239.9,42.92,9.267,258.0,1,1.0,Failed,Temp 111.9C > Spec Max 106.8 | Vib 7.14 > Spec Max 5.83 | Volt 239.9 > Spec Max 237.0 | Curr 42.9 > Spec Max 36.1,Vibration_mm_s (7.1)
M06839,Type_08,105.45,12.07,238.2,55.79,11.96,177.7,1,1.0,Failed,Temp 105.5C > Spec Max 101.5 | Vib 12.07 > Spec Max 9.83 | Volt 238.2 > Spec Max 234.1 | Curr 55.8 > Spec Max 49.8,Vibration_mm_s (12.1)
M07302,Type_10,116.19,6.47,243.6,55.25,12.113,879.8,1,1.0,Failed,Temp 116.2C > Spec Max 114.0 | Vib 6.47 > Spec Max 4.27 | Volt 243.6 > Spec Max 235.6 | Curr 55.2 > Spec Max 47.0,Vibration_mm_s (6.5)
M07316,Type_15,106.15,10.46,242.4,42.15,9.195,522.9,1,1.0,Failed,Temp 106.2C > Spec Max 98.4 | Vib 10.46 > Spec Max 9.29 | Volt 242.4 > Spec Max 232.7 | Curr 42.1 > Spec Max 35.6,Vibration_mm_s (10.5)
M07328,Type_05,125.46,10.69,252.4,41.59,9.448,632.6,1,1.0,Failed,Temp 125.5C > Spec Max 119.9 | Vib 10.69 > Spec Max 9.77 | Volt 252.4 > Spec Max 238.3 | Curr 41.6 > Spec Max 38.7,Vibration_mm_s (10.7)
M07677,Type_09,121.85,6.58,243.4,38.71,8.48,296.0,1,1.0,Failed,Temp 121.8C > Spec Max 114.9 | Vib 6.58 > Spec Max 4.56 | Volt 243.4 > Spec Max 237.9 | Curr 38.7 > Spec Max 30.8,Vibration_mm_s (6.6)
M07685,Type_01,115.17,7.66,236.1,54.85,11.655,531.5,1,1.0,Failed,Temp 115.2C > Spec Max 109.1 | Vib 7.66 > Spec Max 4.94 | Volt 236.1 > Spec Max 231.3 | Curr 54.9 > Spec Max 49.6,Vibration_mm_s (7.7)
M07817,Type_10,116.19,6.02,237.7,53.65,11.477,824.1,1,1.0,Failed,Temp 116.2C > Spec Max 114.0 | Vib 6.02 > Spec Max 4.27 | Volt 237.7 > Spec Max 235.6 | Curr 53.6 > Spec Max 47.0,Vibration_mm_s (6.0)
M07857,Type_08,105.92,11.05,239.5,55.45,11.952,547.7,1,1.0,Failed,Temp 105.9C > Spec Max 101.5 | Vib 11.05 > Spec Max 9.83 | Volt 239.5 > Spec Max 234.1 | Curr 55.5 > Spec Max 49.8,Vibration_mm_s (11.1)
M07984,Type_18,118.34,5.0,247.0,47.66,10.595,223.4,1,1.0,Failed,Temp 118.3C > Spec Max 109.1 | Vib 5.00 > Spec Max 4.33 | Volt 247.0 > Spec Max 238.6 | Curr 47.7 > Spec Max 43.8,Vibration_mm_s (5.0)
M08009,Type_13,106.39,7.96,248.3,42.92,9.591,191.1,1,1.0,Failed,Temp 106.4C > Spec Max 103.8 | Vib 7.96 > Spec Max 5.25 | Volt 248.3 > Spec Max 237.0 | Curr 42.9 > Spec Max 40.5,Vibration_mm_s (8.0)
M08019,Type_25,121.17,10.6,245.0,47.4,10.452,435.4,1,1.0,Failed,Temp 121.2C > Spec Max 112.4 | Vib 10.60 > Spec Max 8.36 | Volt 245.0 > Spec Max 233.5 | Curr 47.4 > Spec Max 37.7,Vibration_mm_s (10.6)
M08035,Type_01,116.75,7.22,244.0,57.34,12.592,690.5,1,1.0,Failed,Temp 116.8C > Spec Max 109.1 | Vib 7.22 > Spec Max 4.94 | Volt 244.0 > Spec Max 231.3 | Curr 57.3 > Spec Max 49.6,Vibration_mm_s (7.2)
M08071,Type_22,113.22,8.0,239.1,44.73,9.625,363.4,1,1.0,Failed,Temp 113.2C > Spec Max 106.8 | Vib 8.00 > Spec Max 5.83 | Volt 239.1 > Spec Max 237.0 | Curr 44.7 > Spec Max 36.1,Vibration_mm_s (8.0)
M08104,Type_13,113.2,6.23,245.9,46.4,10.269,893.3,1,1.0,Failed,Temp 113.2C > Spec Max 103.8 | Vib 6.23 > Spec Max 5.25 | Volt 245.9 > Spec Max 237.0 | Curr 46.4 > Spec Max 40.5,Vibration_mm_s (6.2)
M08110,Type_05,128.1,11.9,246.8,44.24,9.827,131.8,1,1.0,Failed,Temp 128.1C > Spec Max 119.9 | Vib 11.90 > Spec Max 9.77 | Volt 246.8 > Spec Max 238.3 | Curr 44.2 > Spec Max 38.7,Vibration_mm_s (11.9)
M08119,Type_22,113.4,8.75,244.2,45.33,9.963,822.5,1,1.0,Failed,Temp 113.4C > Spec Max 106.8 | Vib 8.75 > Spec Max 5.83 | Volt 244.2 > Spec Max 237.0 | Curr 45.3 > Spec Max 36.1,Vibration_mm_s (8.8)
M08212,Type_08,104.96,11.94,246.5,58.95,13.078,901.6,1,1.0,Failed,Temp 105.0C > Spec Max 101.5 | Vib 11.94 > Spec Max 9.83 | Volt 246.5 > Spec Max 234.1 | Curr 59.0 > Spec Max 49.8,Vibration_mm_s (11.9)
M08226,Type_10,118.88,5.69,248.8,49.52,11.089,667.2,1,1.0,Failed,Temp 118.9C > Spec Max 114.0 | Vib 5.69 > Spec Max 4.27 | Volt 248.8 > Spec Max 235.6 | Curr 49.5 > Spec Max 47.0,Vibration_mm_s (5.7)
M08251,Type_14,122.91,8.22,241.6,48.33,10.509,423.0,1,1.0,Failed,Temp 122.9C > Spec Max 115.0 | Vib 8.22 > Spec Max 7.33 | Volt 241.6 > Spec Max 230.1 | Curr 48.3 > Spec Max 45.5,Vibration_mm_s (8.2)
M08320,Type_14,122.9,8.96,242.7,49.73,10.863,298.0,1,1.0,Failed,Temp 122.9C > Spec Max 115.0 | Vib 8.96 > Spec Max 7.33 | Volt 242.7 > Spec Max 230.1 | Curr 49.7 > Spec Max 45.5,Vibration_mm_s (9.0)
M08577,Type_14,117.41,9.86,238.6,51.5,11.059,146.2,1,1.0,Failed,Temp 117.4C > Spec Max 115.0 | Vib 9.86 > Spec Max 7.33 | Volt 238.6 > Spec Max 230.1 | Curr 51.5 > Spec Max 45.5,Vibration_mm_s (9.9)
M08717,Type_18,113.61,6.76,245.5,50.23,11.098,620.7,1,1.0,Failed,Temp 113.6C > Spec Max 109.1 | Vib 6.76 > Spec Max 4.33 | Volt 245.5 > Spec Max 238.6 | Curr 50.2 > Spec Max 43.8,Vibration_mm_s (6.8)
M08739,Type_16,115.58,7.88,247.0,52.01,11.562,546.1,1,1.0,Failed,Temp 115.6C > Spec Max 106.0 | Vib 7.88 > Spec Max 6.87 | Volt 247.0 > Spec Max 233.3 | Curr 52.0 > Spec Max 47.2,Vibration_mm_s (7.9)
M08866,Type_14,122.63,10.31,240.3,48.08,10.398,420.1,1,1.0,Failed,Temp 122.6C > Spec Max 115.0 | Vib 10.31 > Spec Max 7.33 | Volt 240.3 > Spec Max 230.1 | Curr 48.1 > Spec Max 45.5,Vibration_mm_s (10.3)
M09303,Type_13,110.34,7.06,245.8,49.6,10.973,314.2,1,1.0,Failed,Temp 110.3C > Spec Max 103.8 | Vib 7.06 > Spec Max 5.25 | Volt 245.8 > Spec Max 237.0 | Curr 49.6 > Spec Max 40.5,Vibration_mm_s (7.1)
M09332,Type_15,102.16,12.16,244.8,42.09,9.273,141.4,1,1.0,Failed,Temp 102.2C > Spec Max 98.4 | Vib 12.16 > Spec Max 9.29 | Volt 244.8 > Spec Max 232.7 | Curr 42.1 > Spec Max 35.6,Vibration_mm_s (12.2)
M09410,Type_16,114.34,7.74,235.7,51.97,11.024,524.8,1,1.0,Failed,Temp 114.3C > Spec Max 106.0 | Vib 7.74 > Spec Max 6.87 | Volt 235.7 > Spec Max 233.3 | Curr 52.0 > Spec Max 47.2,Vibration_mm_s (7.7)
M09517,Type_15,102.33,10.15,235.4,41.33,8.756,261.3,1,1.0,Failed,Temp 102.3C > Spec Max 98.4 | Vib 10.15 > Spec Max 9.29 | Volt 235.4 > Spec Max 232.7 | Curr 41.3 > Spec Max 35.6,Vibration_mm_s (10.2)
M09742,Type_01,115.93,6.88,236.6,52.78,11.239,601.5,1,1.0,Failed,Temp 115.9C > Spec Max 109.1 | Vib 6.88 > Spec Max 4.94 | Volt 236.6 > Spec Max 231.3 | Curr 52.8 > Spec Max 49.6,Vibration_mm_s (6.9)
M09903,Type_13,113.24,7.53,242.3,48.61,10.6,163.3,1,1.0,Failed,Temp 113.2C > Spec Max 103.8 | Vib 7.53 > Spec Max 5.25 | Volt 242.3 > Spec Max 237.0 | Curr 48.6 > Spec Max 40.5,Vibration_mm_s (7.5)
M04075,Type_03,83.86,9.05,246.6,51.9,11.519,192.6,1,0.9998113207547169,Failed,Temp 83.9C > Spec Max 80.1 | Vib 9.05 > Spec Max 8.42 | Volt 246.6 > Spec Max 235.0 | Curr 51.9 > Spec Max 49.0,Vibration_mm_s (9.1)
M05073,Type_03,84.88,9.13,246.4,56.84,12.605,442.3,1,0.9998113207547169,Failed,Temp 84.9C > Spec Max 80.1 | Vib 9.13 > Spec Max 8.42 | Volt 246.4 > Spec Max 235.0 | Curr 56.8 > Spec Max 49.0,Vibration_mm_s (9.1)
M07784,Type_03,81.74,9.67,249.4,58.59,13.151,55.8,1,0.9998113207547169,Failed,Temp 81.7C > Spec Max 80.1 | Vib 9.67 > Spec Max 8.42 | Volt 249.4 > Spec Max 235.0 | Curr 58.6 > Spec Max 49.0,Vibration_mm_s (9.7)
M08276,Type_03,81.14,8.93,244.7,54.44,11.989,197.4,1,0.9998113207547169,Failed,Temp 81.1C > Spec Max 80.1 | Vib 8.93 > Spec Max 8.42 | Volt 244.7 > Spec Max 235.0 | Curr 54.4 > Spec Max 49.0,Vibration_mm_s (8.9)
M00412,Type_17,88.31,8.02,239.6,49.36,10.644,892.4,1,0.9997916666666665,Failed,Temp 88.3C > Spec Max 85.9 | Vib 8.02 > Spec Max 6.02 | Volt 239.6 > Spec Max 235.0 | Curr 49.4 > Spec Max 42.8,Vibration_mm_s (8.0)
M00544,Type_09,120.71,6.81,246.9,33.16,7.368,882.3,1,0.9997916666666665,Failed,Temp 120.7C > Spec Max 114.9 | Vib 6.81 > Spec Max 4.56 | Volt 246.9 > Spec Max 237.9 | Curr 33.2 > Spec Max 30.8,Vibration_mm_s (6.8)
M00807,Type_22,109.69,8.53,251.0,41.4,9.352,976.9,1,0.9997916666666665,Failed,Temp 109.7C > Spec Max 106.8 | Vib 8.53 > Spec Max 5.83 | Volt 251.0 > Spec Max 237.0 | Curr 41.4 > Spec Max 36.1,Vibration_mm_s (8.5)
M01002,Type_09,122.6,6.87,244.5,35.53,7.818,913.4,1,0.9997916666666665,Failed,Temp 122.6C > Spec Max 114.9 | Vib 6.87 > Spec Max 4.56 | Volt 244.5 > Spec Max 237.9 | Curr 35.5 > Spec Max 30.8,Vibration_mm_s (6.9)
M01242,Type_16,115.32,9.6,239.3,50.07,10.784,904.8,1,0.9997916666666665,Failed,Temp 115.3C > Spec Max 106.0 | Vib 9.60 > Spec Max 6.87 | Volt 239.3 > Spec Max 233.3 | Curr 50.1 > Spec Max 47.2,Vibration_mm_s (9.6)
M03909,Type_22,114.77,8.59,248.1,41.07,9.171,876.4,1,0.9997916666666665,Failed,Temp 114.8C > Spec Max 106.8 | Vib 8.59 > Spec Max 5.83 | Volt 248.1 > Spec Max 237.0 | Curr 41.1 > Spec Max 36.1,Vibration_mm_s (8.6)
M05776,Type_09,121.35,7.19,248.9,34.11,7.641,960.0,1,0.9997916666666665,Failed,Temp 121.3C > Spec Max 114.9 | Vib 7.19 > Spec Max 4.56 | Volt 248.9 > Spec Max 237.9 | Curr 34.1 > Spec Max 30.8,Vibration_mm_s (7.2)
M07422,Type_09,117.79,5.27,250.0,35.04,7.884,954.1,1,0.9997916666666665,Failed,Temp 117.8C > Spec Max 114.9 | Vib 5.27 > Spec Max 4.56 | Volt 250.0 > Spec Max 237.9 | Curr 35.0 > Spec Max 30.8,Vibration_mm_s (5.3)
M07787,Type_09,117.71,5.17,250.9,33.08,7.47,977.8,1,0.9997916666666665,Failed,Temp 117.7C > Spec Max 114.9 | Vib 5.17 > Spec Max 4.56 | Volt 250.9 > Spec Max 237.9 | Curr 33.1 > Spec Max 30.8,Vibration_mm_s (5.2)
M07918,Type_16,108.2,8.47,246.6,50.73,11.259,989.9,1,0.9997916666666665,Failed,Temp 108.2C > Spec Max 106.0 | Vib 8.47 > Spec Max 6.87 | Volt 246.6 > Spec Max 233.3 | Curr 50.7 > Spec Max 47.2,Vibration_mm_s (8.5)
M09911,Type_11,101.08,9.34,239.6,53.7,11.58,922.4,1,0.9997916666666665,Failed,Temp 101.1C > Spec Max 94.4 | Vib 9.34 > Spec Max 6.41 | Volt 239.6 > Spec Max 232.6 | Curr 53.7 > Spec Max 47.6,Vibration_mm_s (9.3)
M00782,Type_17,94.7,8.95,246.4,45.42,10.072,447.5,1,0.9997905759162303,Failed,Temp 94.7C > Spec Max 85.9 | Vib 8.95 > Spec Max 6.02 | Volt 246.4 > Spec Max 235.0 | Curr 45.4 > Spec Max 42.8,Vibration_mm_s (8.9)
M01353,Type_17,91.69,6.74,240.5,52.09,11.275,255.4,1,0.9997905759162303,Failed,Temp 91.7C > Spec Max 85.9 | Vib 6.74 > Spec Max 6.02 | Volt 240.5 > Spec Max 235.0 | Curr 52.1 > Spec Max 42.8,Vibration_mm_s (6.7)
M04246,Type_17,94.82,8.47,249.6,49.38,11.093,482.3,1,0.9997905759162303,Failed,Temp 94.8C > Spec Max 85.9 | Vib 8.47 > Spec Max 6.02 | Volt 249.6 > Spec Max 235.0 | Curr 49.4 > Spec Max 42.8,Vibration_mm_s (8.5)
M06704,Type_17,94.82,7.34,242.8,51.55,11.265,328.8,1,0.9997905759162303,Failed,Temp 94.8C > Spec Max 85.9 | Vib 7.34 > Spec Max 6.02 | Volt 242.8 > Spec Max 235.0 | Curr 51.5 > Spec Max 42.8,Vibration_mm_s (7.3)
M08569,Type_17,90.69,8.48,242.3,47.23,10.299,844.8,1,0.9997905759162303,Failed,Temp 90.7C > Spec Max 85.9 | Vib 8.48 > Spec Max 6.02 | Volt 242.3 > Spec Max 235.0 | Curr 47.2 > Spec Max 42.8,Vibration_mm_s (8.5)
M05244,Type_06,86.19,10.67,239.6,44.76,9.652,113.3,1,0.9994642857142857,Failed,Temp 86.2C > Spec Max 84.5 | Vib 10.67 > Spec Max 9.63 | Volt 239.6 > Spec Max 230.4 | Curr 44.8 > Spec Max 38.6,Vibration_mm_s (10.7)
M08260,Type_02,86.29,7.96,239.5,47.34,10.204,194.4,1,0.9994642857142857,Failed,Temp 86.3C > Spec Max 80.2 | Vib 7.96 > Spec Max 5.39 | Volt 239.5 > Spec Max 234.2 | Curr 47.3 > Spec Max 39.0,Vibration_mm_s (8.0)
